sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous,cin_prop,cry_prop,plu_prop,expected_innoc_prop,unexpected_innoc_prop,expected_innoc,only_expected_innoc,valid_inoc
S139,2,D07,Cin,TRUE,100,2,Sample,FALSE,0.6821178209254164,0,0,0.6821178209254164,0,TRUE,TRUE,TRUE
S14,1,F02,Cin,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S140,2,E07,Plu,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S141,2,F07,Cry,TRUE,100,2,Sample,FALSE,0,0.019098388179986568,0,0.019098388179986568,0,TRUE,TRUE,TRUE
S142,2,G07,Control,FALSE,0,2,Sample,FALSE,3.565926855708336e-4,0,0,NA,3.565926855708336e-4,FALSE,FALSE,FALSE
S143,2,H07,Cry,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S144,2,A08,Control,FALSE,0,2,Sample,FALSE,1.5264408170274473e-4,0,0,NA,1.5264408170274473e-4,FALSE,FALSE,FALSE
S145,2,B08,Plu,FALSE,1,2,Sample,FALSE,9.83495712573378e-4,0,0,0,9.83495712573378e-4,FALSE,FALSE,FALSE
S146,2,C08,Cin,FALSE,100,2,Sample,FALSE,0.870245978055602,0,0,0.870245978055602,0,TRUE,TRUE,TRUE
S147,2,D08,Cry,FALSE,100,2,Sample,FALSE,0.0010323159784560144,0.0039198084979054455,0,0.0039198084979054455,0.0010323159784560144,TRUE,FALSE,FALSE
S148,2,E08,Cry,FALSE,1,2,Sample,FALSE,4.2338056932234204e-4,0,0,0,4.2338056932234204e-4,FALSE,FALSE,FALSE
S149,2,F08,Plu,FALSE,100,2,Sample,FALSE,3.401465722502242e-4,0,0,0,3.401465722502242e-4,FALSE,FALSE,FALSE
S15,1,H02,Cin,FALSE,100,1,Sample,FALSE,0.6002559520934949,0,0,0.6002559520934949,0,TRUE,TRUE,TRUE
S150,2,G08,Control,TRUE,0,2,Sample,FALSE,0,0.009692878276451223,0,NA,0.009692878276451223,FALSE,FALSE,FALSE
S151,2,H08,Cin,TRUE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S152,2,A09,Cry,TRUE,1,2,Sample,FALSE,9.091425649184613e-5,0.16943008125461673,0,0.16943008125461673,9.091425649184613e-5,TRUE,FALSE,TRUE
S153,2,B09,Plu,TRUE,1,2,Sample,FALSE,0.002342742513254048,0,0,0,0.002342742513254048,FALSE,FALSE,FALSE
S154,2,C09,Cin,FALSE,100,2,Sample,FALSE,0.7245917650281686,0,0,0.7245917650281686,0,TRUE,TRUE,TRUE
S156,2,D09,Cin,FALSE,1,2,Sample,FALSE,0.3705782937761775,0,0,0.3705782937761775,0,TRUE,TRUE,TRUE
S157,2,E09,Cry,FALSE,1,2,Sample,FALSE,4.948333575898704e-4,0,0,0,4.948333575898704e-4,FALSE,FALSE,FALSE
S158,2,F09,Cry,TRUE,1,2,Sample,FALSE,5.876028304953367e-4,0,0,0,5.876028304953367e-4,FALSE,FALSE,FALSE
S159,2,H09,Plu,FALSE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S16,1,A03,Cry,FALSE,100,1,Sample,FALSE,0,0.524818905118157,0,0.524818905118157,0,TRUE,TRUE,TRUE
S160,2,A10,Control,FALSE,0,2,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S161,2,B10,Cry,FALSE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S162,2,C10,Cin,FALSE,1,2,Sample,FALSE,0.2646929244867389,0,0,0.2646929244867389,0,TRUE,TRUE,TRUE
