"","sample_name","plate","well","organism","flooded","path_conc","experiment","sample_type","is_ambiguous","cin_prop","cry_prop","plu_prop","expected_innoc_prop","unexpected_innoc_prop","expected_innoc","only_expected_innoc","valid_inoc","raw_count","richness","shannon","invsimpson"
"34","S161",2,"B10","Cry","FALSE","100",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,71738,120,2.37662125621781,4.18849545062138
"35","S162",2,"C10","Cin","FALSE","1",2,"Sample",FALSE,0.264624200459932,0,0,0.264624200459932,0,TRUE,TRUE,TRUE,58519,111,2.48597093014611,6.09918858493773
"36","S165",2,"F10","Cin","FALSE","1",2,"Sample",FALSE,0,0.100210480277725,0,0,0.100210480277725,FALSE,FALSE,FALSE,65834,114,2.66491181079068,8.1651017910107
"37","S166",2,"G10","Plu","FALSE","100",2,"Sample",FALSE,0,0,0.00254536743127508,0.00254536743127508,0,TRUE,TRUE,TRUE,66618,82,2.30359479262454,5.23817902726306
"38","S169",2,"B11","Cin","FALSE","100",2,"Sample",FALSE,0.777091569874518,0,0,0.777091569874518,0,TRUE,TRUE,TRUE,54465,143,2.750340960405,7.98238537183046
"39","S2",1,"B01","Cin","FALSE","1",1,"Sample",FALSE,0,0.213599205762447,0,0,0.213599205762447,FALSE,FALSE,FALSE,37229,101,2.75906906430619,8.80136566751337
"40","S20",1,"E03","Plu","FALSE","100",1,"Sample",FALSE,0,0,0.0253694647826439,0.0253694647826439,0,TRUE,TRUE,TRUE,36074,94,2.04705568504007,3.60606172326767
"41","S21",1,"F03","Cry","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,41156,136,2.95406090043235,9.22359822870794
"42","S24",1,"A04","Cin","FALSE","100",1,"Sample",FALSE,0.330683848176472,0,0,0.330683848176472,0,TRUE,TRUE,TRUE,33346,136,2.77484125002942,4.97231941108208
"43","S25",1,"B04","Control","FALSE","0",1,"Sample",FALSE,0.00036092125149444,0,0,NA,0.00036092125149444,FALSE,FALSE,FALSE,44315,102,1.82651375270633,2.52545808814465
"44","S26",1,"C04","Control","FALSE","0",1,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,87119,89,1.83940410479415,2.8597896063676
"45","S27",1,"D04","Cin","FALSE","100",1,"Sample",FALSE,0.249031203423242,0,0,0.249031203423242,0,TRUE,TRUE,TRUE,78097,102,2.52491360470319,5.21048154630981
"46","S28",1,"E04","Cin","FALSE","100",1,"Sample",FALSE,0.183623322373425,0,0,0.183623322373425,0,TRUE,TRUE,TRUE,69770,127,3.23653930002397,12.6347167158068
"47","S29",1,"F04","Cin","FALSE","100",1,"Sample",FALSE,0.541586008571205,0,0,0.541586008571205,0,TRUE,TRUE,TRUE,40968,124,3.02366195935381,9.62279135330501
"48","S31",1,"H04","Plu","FALSE","100",1,"Sample",FALSE,0.000281729821101564,0,0,0,0.000281729821101564,FALSE,FALSE,FALSE,56776,95,2.3607126696036,6.64586395007976
"49","S32",1,"A05","Cry","FALSE","100",1,"Sample",FALSE,0,0.0703594426377792,0,0.0703594426377792,0,TRUE,TRUE,TRUE,43166,119,2.31109240774981,4.73160392834437
"50","S33",1,"B05","Control","FALSE","0",1,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,63031,99,1.87690628000222,3.51181492126192
"51","S34",1,"C05","Plu","FALSE","100",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,68346,130,2.75899071665779,6.67825468458433
"52","S40",1,"B06","Cry","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,64322,101,2.3984578987673,5.52367224716762
"53","S41",1,"C06","Cry","FALSE","100",1,"Sample",FALSE,0,0.131686758334903,0,0.131686758334903,0,TRUE,TRUE,TRUE,73758,129,2.32641651901437,5.40278010774495
"54","S43",1,"E06","Cry","FALSE","1",1,"Sample",FALSE,0,0.112090537769813,0,0.112090537769813,0,TRUE,TRUE,TRUE,54998,134,2.98913248387689,9.324191253192
"55","S5",1,"E01","Cin","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,59272,108,1.89679191519097,3.30414955876843
