Sample	ReadCount
S39_R2.fastq.gz	74264
S4_R1.fastq.gz	53165
S4_R2.fastq.gz	53165
S40_R1.fastq.gz	48697
S40_R2.fastq.gz	48697
S41_R1.fastq.gz	43210
S41_R2.fastq.gz	43210
S42_R1.fastq.gz	101895
S42_R2.fastq.gz	101895
S43_R1.fastq.gz	27118
S43_R2.fastq.gz	27118
S45_R1.fastq.gz	75249
S45_R2.fastq.gz	75249
S46_R1.fastq.gz	6556
S46_R2.fastq.gz	6556
S47_R1.fastq.gz	80641
S47_R2.fastq.gz	80641
S48_R1.fastq.gz	75625
S48_R2.fastq.gz	75625
S49_R1.fastq.gz	96007
S49_R2.fastq.gz	96007
S5_R1.fastq.gz	39053
S5_R2.fastq.gz	39053
S50_R1.fastq.gz	60423
S50_R2.fastq.gz	60423
S51_R1.fastq.gz	40085
S51_R2.fastq.gz	40085
S52_R1.fastq.gz	93906
S52_R2.fastq.gz	93906
S53_R1.fastq.gz	29850
S53_R2.fastq.gz	29850
S54_R1.fastq.gz	35853
S54_R2.fastq.gz	35853
S55_R1.fastq.gz	61864
S55_R2.fastq.gz	61864
S56_R1.fastq.gz	76074
S56_R2.fastq.gz	76074
S57_R1.fastq.gz	60506
S57_R2.fastq.gz	60506
S58_R1.fastq.gz	40585
S58_R2.fastq.gz	40585
S59_R1.fastq.gz	1697
S59_R2.fastq.gz	1697
S6_R1.fastq.gz	45312
S6_R2.fastq.gz	45312
S60_R1.fastq.gz	10619
S60_R2.fastq.gz	10619
S61_R1.fastq.gz	10465
S61_R2.fastq.gz	10465
S62_R1.fastq.gz	89978
S62_R2.fastq.gz	89978
S63_R1.fastq.gz	89411
S63_R2.fastq.gz	89411
S64_R1.fastq.gz	52018
S64_R2.fastq.gz	52018
S65_R1.fastq.gz	72876
S65_R2.fastq.gz	72876
S66_R1.fastq.gz	70575
S66_R2.fastq.gz	70575
S68_R1.fastq.gz	6113
S68_R2.fastq.gz	6113
S69_R1.fastq.gz	2593
S69_R2.fastq.gz	2593
S7_R1.fastq.gz	60926
S7_R2.fastq.gz	60926
S70_R1.fastq.gz	41380
S70_R2.fastq.gz	41380
S72_R1.fastq.gz	74359
S72_R2.fastq.gz	74359
S73_R1.fastq.gz	25210
S73_R2.fastq.gz	25210
S74_R1.fastq.gz	80393
S74_R2.fastq.gz	80393
S76_R1.fastq.gz	66773
S76_R2.fastq.gz	66773
S77_R1.fastq.gz	11314
S77_R2.fastq.gz	11314
S78_R1.fastq.gz	31559
S78_R2.fastq.gz	31559
S79_R1.fastq.gz	84874
S79_R2.fastq.gz	84874
S8_R1.fastq.gz	112444
S8_R2.fastq.gz	112444
S80_R1.fastq.gz	72149
S80_R2.fastq.gz	72149
S81_R1.fastq.gz	45567
S81_R2.fastq.gz	45567
S82_R1.fastq.gz	18323
S82_R2.fastq.gz	18323
S83_R1.fastq.gz	29413
S83_R2.fastq.gz	29413
S84_R1.fastq.gz	45714
S84_R2.fastq.gz	45714
S85_R1.fastq.gz	107266
S85_R2.fastq.gz	107266
S86_R1.fastq.gz	186886
S86_R2.fastq.gz	186886
S87_R1.fastq.gz	84736
S87_R2.fastq.gz	84736
S88_R1.fastq.gz	170962
S88_R2.fastq.gz	170962
S89_R1.fastq.gz	108931
S89_R2.fastq.gz	108931
S9_R1.fastq.gz	19989
S9_R2.fastq.gz	19989
S90_R1.fastq.gz	114026
S90_R2.fastq.gz	114026
S91_R1.fastq.gz	61394
S91_R2.fastq.gz	61394
S92_R1.fastq.gz	80692
S92_R2.fastq.gz	80692
S93_R1.fastq.gz	183538
S93_R2.fastq.gz	183538
S94_R1.fastq.gz	63732
S94_R2.fastq.gz	63732
S95_R1.fastq.gz	160577
S95_R2.fastq.gz	160577
S96_R1.fastq.gz	137860
S96_R2.fastq.gz	137860
S97_R1.fastq.gz	120491
S97_R2.fastq.gz	120491
S98_R1.fastq.gz	81027
S98_R2.fastq.gz	81027
S99_R1.fastq.gz	36700
S99_R2.fastq.gz	36700
SDNA_C1_R1.fastq.gz	129
SDNA_C1_R2.fastq.gz	129
SDNA_C2_R1.fastq.gz	220
SDNA_C2_R2.fastq.gz	220
SDNA_C3_R1.fastq.gz	554
SDNA_C3_R2.fastq.gz	554
SDNA_C4_R1.fastq.gz	436
SDNA_C4_R2.fastq.gz	436
SMC1_R1.fastq.gz	114712
SMC1_R2.fastq.gz	114712
SMC2_R1.fastq.gz	111026
SMC2_R2.fastq.gz	111026
SMC3_R1.fastq.gz	207690
SMC3_R2.fastq.gz	207690
SMC4_R1.fastq.gz	187652
SMC4_R2.fastq.gz	187652
SPCR_C1_R1.fastq.gz	178
SPCR_C1_R2.fastq.gz	178
SPCR_C2_R1.fastq.gz	112
SPCR_C2_R2.fastq.gz	112
SPCR_C3_R1.fastq.gz	1269
SPCR_C3_R2.fastq.gz	1269
