sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous,cin_prop,cry_prop,plu_prop,expected_innoc_prop,unexpected_innoc_prop,expected_innoc,only_expected_innoc,valid_inoc
S56,1,C08,Cry,TRUE,100,1,Sample,FALSE,0,0.008459983,0,0.008459983,0,TRUE,TRUE,TRUE
S57,1,D08,Cry,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S58,1,E08,Cin,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S59,1,F08,Cry,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S6,1,F01,Cry,TRUE,1,1,Sample,FALSE,2.3204368609130145e-4,0,0,0,2.3204368609130145e-4,FALSE,FALSE,FALSE
S60,1,G08,Cin,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S61,1,H08,Cin,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S62,1,A09,Cry,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S63,1,B09,Cin,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S64,1,C09,Control,FALSE,0,1,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S65,1,D09,Plu,TRUE,100,1,Sample,FALSE,2.7536409252233506e-4,0.005339004,0.001529801,0.001529801,0.005614368,TRUE,FALSE,FALSE
S66,1,E09,Cin,TRUE,1,1,Sample,FALSE,0.031153855,0.001726203,0,0.031153855,0.001726203,TRUE,FALSE,FALSE
S68,1,G09,Plu,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S69,1,H09,Plu,FALSE,1,1,Sample,FALSE,5.519416518825153e-4,0,0,0,5.519416518825153e-4,FALSE,FALSE,FALSE
S7,1,G01,Cry,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S70,1,A10,Plu,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S72,1,D10,Plu,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S73,1,E10,Control,FALSE,0,1,Sample,FALSE,0.004600067,0,0,NA,0.004600067,FALSE,FALSE,FALSE
S74,1,F10,Control,TRUE,0,1,Sample,FALSE,0,0.182359271,0,NA,0.182359271,FALSE,FALSE,FALSE
S76,1,H10,Cin,FALSE,1,1,Sample,FALSE,0.00452848,0.075396087,0,0.00452848,0.075396087,TRUE,FALSE,FALSE
S77,1,A11,Plu,FALSE,100,1,Sample,FALSE,0,0,0.029535709,0.029535709,0,TRUE,TRUE,TRUE
S78,1,B11,Control,FALSE,0,1,Sample,FALSE,1.4169724965638417e-4,0,0,NA,1.4169724965638417e-4,FALSE,FALSE,FALSE
S79,1,C11,Control,TRUE,0,1,Sample,FALSE,0,8.215376075492645e-4,0,NA,8.215376075492645e-4,FALSE,FALSE,FALSE
S8,1,H01,Cin,TRUE,100,1,Sample,FALSE,0.8298213355096904,0,0,0.8298213355096904,0,TRUE,TRUE,TRUE
S80,1,D11,Cry,TRUE,1,1,Sample,FALSE,1.9343295130325451e-4,0,0,0,1.9343295130325451e-4,FALSE,FALSE,FALSE
S81,1,E11,Cin,FALSE,100,1,Sample,FALSE,0.43744968149267643,0,0,0.43744968149267643,0,TRUE,TRUE,TRUE
S82,1,F11,Cry,TRUE,100,1,Sample,FALSE,0,0.005135428,0,0.005135428,0,TRUE,TRUE,TRUE
S83,1,G11,Cry,FALSE,100,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S84,1,H11,Cin,TRUE,100,1,Sample,FALSE,0.6951048624410295,0,0,0.6951048624410295,0,TRUE,TRUE,TRUE
S9,1,A02,Cry,FALSE,100,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S100,2,B02,Cin,TRUE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S101,2,C02,Plu,FALSE,1,2,Sample,FALSE,0,0.068055465,0.009215394,0.009215394,0.068055465,TRUE,FALSE,FALSE
S102,2,D02,Cry,TRUE,1,2,Sample,FALSE,1.984961001354444e-4,0,0,0,1.984961001354444e-4,FALSE,FALSE,FALSE
S103,2,F02,Cin,FALSE,1,2,Sample,FALSE,0.002354176,0,0,0.002354176,0,TRUE,TRUE,TRUE
S104,2,G02,Plu,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S105,2,H02,Cry,TRUE,100,2,Sample,FALSE,0,0.013725347234880244,0,0.013725347234880244,0,TRUE,TRUE,TRUE
S106,2,A03,Plu,FALSE,100,2,Sample,FALSE,0,0,0.012149764443342426,0.012149764443342426,0,TRUE,TRUE,TRUE
S107,2,B03,Cin,TRUE,100,2,Sample,FALSE,0.8617678900075783,0,0,0.8617678900075783,0,TRUE,TRUE,TRUE
S108,2,C03,Control,TRUE,0,2,Sample,FALSE,0.001902935,0,0,NA,0.001902935,FALSE,FALSE,FALSE
S109,2,D03,Cin,TRUE,1,2,Sample,FALSE,0.088904151,0,0,0.088904151,0,TRUE,TRUE,TRUE
S110,2,E03,Cry,TRUE,100,2,Sample,FALSE,1.4834825925029473e-4,0.002279879,0,0.002279879,1.4834825925029473e-4,TRUE,FALSE,FALSE
S111,2,F03,Cin,FALSE,100,2,Sample,FALSE,0.6576237892027366,0.040276367,0,0.6576237892027366,0.040276367,TRUE,FALSE,FALSE
S112,2,G03,Control,TRUE,0,2,Sample,FALSE,5.595622979358368e-4,0.001015502,0,NA,0.001575064,FALSE,FALSE,FALSE
S113,2,H03,Cry,FALSE,1,2,Sample,FALSE,2.961427408010661e-4,0,0,0,2.961427408010661e-4,FALSE,FALSE,FALSE
S114,2,A04,Plu,FALSE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S115,2,B04,Control,FALSE,0,2,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S116,2,D04,Plu,TRUE,100,2,Sample,FALSE,2.2372317985212963e-4,0,0.016427673491999233,0.016427673491999233,2.2372317985212963e-4,TRUE,FALSE,FALSE
S117,2,E04,Cry,TRUE,1,2,Sample,FALSE,0,6.0646431305489e-4,0,6.0646431305489e-4,0,TRUE,TRUE,TRUE
