sample_name,primer_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous
S142,rps10,2,G07,Control,FALSE,0,2,Sample,FALSE
S142,its,2,G07,Control,FALSE,0,2,Sample,FALSE
S143,rps10,2,H07,Cry,FALSE,1,2,Sample,FALSE
S143,its,2,H07,Cry,FALSE,1,2,Sample,FALSE
S144,rps10,2,A08,Control,FALSE,0,2,Sample,FALSE
S144,its,2,A08,Control,FALSE,0,2,Sample,FALSE
S145,rps10,2,B08,Plu,FALSE,1,2,Sample,FALSE
S145,its,2,B08,Plu,FALSE,1,2,Sample,FALSE
S146,rps10,2,C08,Cin,FALSE,100,2,Sample,FALSE
S146,its,2,C08,Cin,FALSE,100,2,Sample,FALSE
S147,rps10,2,D08,Cry,FALSE,100,2,Sample,FALSE
S147,its,2,D08,Cry,FALSE,100,2,Sample,FALSE
S148,rps10,2,E08,Cry,FALSE,1,2,Sample,FALSE
S148,its,2,E08,Cry,FALSE,1,2,Sample,FALSE
S149,rps10,2,F08,Plu,FALSE,100,2,Sample,FALSE
S149,its,2,F08,Plu,FALSE,100,2,Sample,FALSE
S15,rps10,1,H02,Cin,FALSE,100,1,Sample,FALSE
S15,its,1,H02,Cin,FALSE,100,1,Sample,FALSE
S150,rps10,2,G08,Control,TRUE,0,2,Sample,FALSE
S150,its,2,G08,Control,TRUE,0,2,Sample,FALSE
S151,rps10,2,H08,Cin,TRUE,1,2,Sample,FALSE
S151,its,2,H08,Cin,TRUE,1,2,Sample,FALSE
S152,rps10,2,A09,Cry,TRUE,1,2,Sample,FALSE
S152,its,2,A09,Cry,TRUE,1,2,Sample,FALSE
S153,rps10,2,B09,Plu,TRUE,1,2,Sample,FALSE
S153,its,2,B09,Plu,TRUE,1,2,Sample,FALSE
S154,rps10,2,C09,Cin,FALSE,100,2,Sample,FALSE
S154,its,2,C09,Cin,FALSE,100,2,Sample,FALSE
S156,rps10,2,D09,Cin,FALSE,1,2,Sample,FALSE
S156,its,2,D09,Cin,FALSE,1,2,Sample,FALSE
S157,rps10,2,E09,Cry,FALSE,1,2,Sample,FALSE
S157,its,2,E09,Cry,FALSE,1,2,Sample,FALSE
S158,rps10,2,F09,Cry,TRUE,1,2,Sample,FALSE
S158,its,2,F09,Cry,TRUE,1,2,Sample,FALSE
S159,rps10,2,H09,Plu,FALSE,100,2,Sample,FALSE
S159,its,2,H09,Plu,FALSE,100,2,Sample,FALSE
S16,rps10,1,A03,Cry,FALSE,100,1,Sample,FALSE
S16,its,1,A03,Cry,FALSE,100,1,Sample,FALSE
S160,rps10,2,A10,Control,FALSE,0,2,Sample,FALSE
S160,its,2,A10,Control,FALSE,0,2,Sample,FALSE
S161,rps10,2,B10,Cry,FALSE,100,2,Sample,FALSE
S161,its,2,B10,Cry,FALSE,100,2,Sample,FALSE
S162,rps10,2,C10,Cin,FALSE,1,2,Sample,FALSE
S162,its,2,C10,Cin,FALSE,1,2,Sample,FALSE
S163,rps10,2,D10,Plu,TRUE,100,2,Sample,FALSE
S163,its,2,D10,Plu,TRUE,100,2,Sample,FALSE
S164,rps10,2,E10,Plu,TRUE,1,2,Sample,FALSE
S164,its,2,E10,Plu,TRUE,1,2,Sample,FALSE
S165,rps10,2,F10,Cin,FALSE,1,2,Sample,FALSE
S165,its,2,F10,Cin,FALSE,1,2,Sample,FALSE
S166,rps10,2,G10,Plu,FALSE,100,2,Sample,FALSE
S166,its,2,G10,Plu,FALSE,100,2,Sample,FALSE
S167,rps10,2,H10,Plu,TRUE,100,2,Sample,FALSE
S167,its,2,H10,Plu,TRUE,100,2,Sample,FALSE
S168,rps10,2,A11,Cin,TRUE,1,2,Sample,FALSE
S168,its,2,A11,Cin,TRUE,1,2,Sample,FALSE
S169,rps10,2,B11,Cin,FALSE,100,2,Sample,FALSE
S169,its,2,B11,Cin,FALSE,100,2,Sample,FALSE
S17,rps10,1,B03,Cry,TRUE,100,1,Sample,FALSE
S17,its,1,B03,Cry,TRUE,100,1,Sample,FALSE
S18,rps10,1,C03,Control,TRUE,0,1,Sample,FALSE
S18,its,1,C03,Control,TRUE,0,1,Sample,FALSE
S19,rps10,1,D03,Plu,FALSE,?,1,Sample,TRUE
S19,its,1,D03,Plu,FALSE,?,1,Sample,TRUE
S2,rps10,1,B01,Cin,FALSE,1,1,Sample,FALSE
S2,its,1,B01,Cin,FALSE,1,1,Sample,FALSE
S20,rps10,1,E03,Plu,FALSE,100,1,Sample,FALSE
S20,its,1,E03,Plu,FALSE,100,1,Sample,FALSE
S21,rps10,1,F03,Cry,FALSE,1,1,Sample,FALSE
S21,its,1,F03,Cry,FALSE,1,1,Sample,FALSE
S22,rps10,1,G03,Cry,TRUE,100,1,Sample,FALSE
S22,its,1,G03,Cry,TRUE,100,1,Sample,FALSE
S23,rps10,1,H03,Plu,TRUE,100,1,Sample,FALSE
S23,its,1,H03,Plu,TRUE,100,1,Sample,FALSE
S24,rps10,1,A04,Cin,FALSE,100,1,Sample,FALSE
S24,its,1,A04,Cin,FALSE,100,1,Sample,FALSE
S25,rps10,1,B04,Control,FALSE,0,1,Sample,FALSE
S25,its,1,B04,Control,FALSE,0,1,Sample,FALSE
S26,rps10,1,C04,Control,FALSE,0,1,Sample,FALSE
S26,its,1,C04,Control,FALSE,0,1,Sample,FALSE
S27,rps10,1,D04,Cin,FALSE,100,1,Sample,FALSE
S27,its,1,D04,Cin,FALSE,100,1,Sample,FALSE
S28,rps10,1,E04,Cin,FALSE,100,1,Sample,FALSE
S28,its,1,E04,Cin,FALSE,100,1,Sample,FALSE
S29,rps10,1,F04,Cin,FALSE,100,1,Sample,FALSE
S29,its,1,F04,Cin,FALSE,100,1,Sample,FALSE
S3,rps10,1,C01,Plu,TRUE,1,1,Sample,FALSE
S3,its,1,C01,Plu,TRUE,1,1,Sample,FALSE
S30,rps10,1,G04,Plu,?,1,1,Sample,TRUE
S30,its,1,G04,Plu,?,1,1,Sample,TRUE
S31,rps10,1,H04,Plu,FALSE,100,1,Sample,FALSE
S31,its,1,H04,Plu,FALSE,100,1,Sample,FALSE
S32,rps10,1,A05,Cry,FALSE,100,1,Sample,FALSE
S32,its,1,A05,Cry,FALSE,100,1,Sample,FALSE
S33,rps10,1,B05,Control,FALSE,0,1,Sample,FALSE
S33,its,1,B05,Control,FALSE,0,1,Sample,FALSE
S34,rps10,1,C05,Plu,FALSE,100,1,Sample,FALSE
S34,its,1,C05,Plu,FALSE,100,1,Sample,FALSE
S35,rps10,1,E05,Control,TRUE,0,1,Sample,FALSE
S35,its,1,E05,Control,TRUE,0,1,Sample,FALSE
S36,rps10,1,F05,Plu,TRUE,100,1,Sample,FALSE
S36,its,1,F05,Plu,TRUE,100,1,Sample,FALSE
S37,rps10,1,G05,Cry,TRUE,100,1,Sample,FALSE
S37,its,1,G05,Cry,TRUE,100,1,Sample,FALSE
S38,rps10,1,H05,Cry,TRUE,1,1,Sample,FALSE
S38,its,1,H05,Cry,TRUE,1,1,Sample,FALSE
S39,rps10,1,A06,Cin,TRUE,1,1,Sample,FALSE
S39,its,1,A06,Cin,TRUE,1,1,Sample,FALSE
S4,rps10,1,D01,Plu,TRUE,1,1,Sample,FALSE
S4,its,1,D01,Plu,TRUE,1,1,Sample,FALSE
S40,rps10,1,B06,Cry,FALSE,1,1,Sample,FALSE
S40,its,1,B06,Cry,FALSE,1,1,Sample,FALSE
S41,rps10,1,C06,Cry,FALSE,100,1,Sample,FALSE
S41,its,1,C06,Cry,FALSE,100,1,Sample,FALSE
S42,rps10,1,D06,Plu,TRUE,1,1,Sample,FALSE
S42,its,1,D06,Plu,TRUE,1,1,Sample,FALSE
S43,rps10,1,E06,Cry,FALSE,1,1,Sample,FALSE
S43,its,1,E06,Cry,FALSE,1,1,Sample,FALSE
S44,rps10,1,F06,Cin,?,100,1,Sample,TRUE
S44,its,1,F06,Cin,?,100,1,Sample,TRUE
S45,rps10,1,G06,Cin,TRUE,100,1,Sample,FALSE
S45,its,1,G06,Cin,TRUE,100,1,Sample,FALSE
S46,rps10,1,H06,Cin,TRUE,1,1,Sample,FALSE
S46,its,1,H06,Cin,TRUE,1,1,Sample,FALSE
S47,rps10,1,A07,Plu,TRUE,100,1,Sample,FALSE
S47,its,1,A07,Plu,TRUE,100,1,Sample,FALSE
S48,rps10,1,B07,Cin,TRUE,100,1,Sample,FALSE
S48,its,1,B07,Cin,TRUE,100,1,Sample,FALSE
S49,rps10,1,C07,Cin,TRUE,1,1,Sample,FALSE
S49,its,1,C07,Cin,TRUE,1,1,Sample,FALSE
S5,rps10,1,E01,Cin,FALSE,1,1,Sample,FALSE
S5,its,1,E01,Cin,FALSE,1,1,Sample,FALSE
S50,rps10,1,D07,Control,TRUE,0,1,Sample,FALSE
S50,its,1,D07,Control,TRUE,0,1,Sample,FALSE
S51,rps10,1,E07,Cry,FALSE,1,1,Sample,FALSE
S51,its,1,E07,Cry,FALSE,1,1,Sample,FALSE
S52,rps10,1,F07,Plu,TRUE,1,1,Sample,FALSE
S52,its,1,F07,Plu,TRUE,1,1,Sample,FALSE
S53,rps10,1,G07,Plu,FALSE,100,1,Sample,FALSE
S53,its,1,G07,Plu,FALSE,100,1,Sample,FALSE
S54,rps10,1,A08,Plu,FALSE,100,1,Sample,FALSE
S54,its,1,A08,Plu,FALSE,100,1,Sample,FALSE
S55,rps10,1,B08,Plu,FALSE,100,1,Sample,FALSE
S55,its,1,B08,Plu,FALSE,100,1,Sample,FALSE
S56,rps10,1,C08,Cry,TRUE,100,1,Sample,FALSE
S56,its,1,C08,Cry,TRUE,100,1,Sample,FALSE
S57,rps10,1,D08,Cry,FALSE,1,1,Sample,FALSE
