Species,Number of sequences
Atractosporocybe_polaris,1
Atractosporocybe_sp,1
Atraporiella_yunnanensis,1
Atripes_paspali,1
Atrocalyx_acervatus,1
Atrocalyx_acutisporus,1
Atrocalyx_bambusae,1
Atrocalyx_krabiensis,1
Atrocalyx_lignicola,1
Atrocalyx_nordicus,1
Atrocalyx_sp,3
Atrophysma_cyanomelanos,1
Atrozythia_lignicola,1
Aurantiascoma_nephelii,1
Aurantiolachnea_solsequia,1
Aurantiopileus_mayaensis,1
Aurantioporthe_corni,1
Aurantiosacculus_acutatus,1
Aurantiosacculus_castaneae,1
Aurantiosacculus_eucalyptorum,1
Aurantiporus_albidus,1
Aurantiporus_fissilis,1
Aurantiporus_roseus,1
Aurantipostia_macrospora,1
Aurapex_penicillata,1
Auratiopycnidiella_tristaniopsidis,1
Aureobasidium_bupleuri,1
Aureobasidium_castaneae,1
Aureobasidium_caulivorum,2
Aureobasidium_iranianum,2
Aureobasidium_mangrovei,1
Aureobasidium_pullulans,3
Aureobasidium_sp,18
Aureobasidium_thailandense,3
Aureoboletus_auriporus,2
Aureoboletus_erythraeus,1
Aureoboletus_flaviporus,1
Aureoboletus_gentilis,1
Aureoboletus_innixus,2
Aureoboletus_mirabilis,1
Aureoboletus_moravicus,1
Aureoboletus_projectellus,1
Aureoboletus_pseudoauriporus,1
Aureoboletus_quercus-spinosae,1
Aureoboletus_roxanae,1
Aureoboletus_sp,6
Aureoboletus_venustus,1
Aureoconidiella_foliicola,1
Aureonarius_armiae,1
Aureonarius_aurantiobrunneus,1
Aureonarius_callisteus,1
Aureonarius_caryotis,1
Aureonarius_caryotoides,1
Aureonarius_collybianus,1
Aureonarius_kroegeri,1
Aureonarius_limonius,1
Aureonarius_rubrocastaneus,1
Aureonarius_rubrodactylus,1
Aureonarius_ruficollybianus,1
Aureonarius_tofaceus,2
Aureonarius_viscilaetus,1
Aureovirgo_volantis,1
Auricularia_africana,1
Auricularia_americana,1
Auricularia_angiospermarum,1
Auricularia_asiatica,1
Auricularia_auricula-judae,1
Auricularia_australiana,1
Auricularia_brasiliana,1
Auricularia_cerrina,1
Auricularia_conferta,1
Auricularia_cornea,2
Auricularia_delicata,1
Auricularia_fibrillifera,2
Auricularia_heimuer,1
Auricularia_mesenterica,2
Auricularia_minutissima,1
Auricularia_nigricans,4
Auricularia_orientalis,1
Auricularia_pilosa,1
Auricularia_pusio,1
Auricularia_scissa,1
Auricularia_sp,42
Auricularia_srilankensis,1
Auricularia_subglabra,1
Auricularia_submesenterica,1
Auricularia_thailandica,1
Auricularia_tibetica,2
Auricularia_villosula,1
Auriculariaceae_sp,33
Auriculariales_sp,453
Auriculoscypha_anacardiicola,1
Aurifilum_marmelostoma,1
Aurifilum_sp,1
Auriporia_aurea,1
Auriporia_aurulenta,2
Auriscalpiaceae_sp,1
Auriscalpium_barbatum,1
Auriscalpium_microsporum,2
Auriscalpium_orientale,6
Auriscalpium_sp,1
Auriscalpium_vulgare,3
Auritella_arenicolens,1
Auritella_brunnescens,1
Auritella_foveata,1
Auritella_fulvella,1
Auritella_hispida,1
Auritella_robusta,1
Auritella_sp,1
Auritella_spiculosa,1
Australiasca_queenslandica,1
Australiascaceae_sp,3
Australohydnum_dregeanum,1
Australoporus_tasmanicus,1
Australosphaerella_nootherensis,1
Australovuilleminia_coccinea,1
Austroafricana_associata,1
Austroafricana_parva,2
Austroafricana_sp,1
Austroblastenia_pauciseptata,1
Austroboletus_amazonicus,1
Austroboletus_appendiculatus,1
Austroboletus_asper,1
Austroboletus_austrovirens,1
Austroboletus_festivus,1
Austroboletus_fusisporus,2
Austroboletus_lacunosus,1
Austroboletus_mutabilis,1
Austroboletus_neotropicalis,1
Austroboletus_roseialbus,1
Austroboletus_sp,5
Austroboletus_subflavidus,2
Austroboletus_viscidoviridis,1
Austrocortinarius_australiensis,1
Austrogautieria_chlorospora,1
Austrogautieria_costata,1
Austrogautieria_sp,10
Austrolecia_sp,2
Austroparmelina_norpruinata,1
Austroparmelina_pseudorelicina,1
Austropaxillus_boletinoides,1
Austropaxillus_infundibuliformis,1
Austropaxillus_macnabbii,1
Austropaxillus_nothofagi,1
Austropaxillus_sp,7
Austropaxillus_squarrosus,2
Austropaxillus_statuum,1
Austroplaca_erecta,1
Austroplaca_hookeri,1
Austroplaca_millegrana,1
Austroplaca_sibirica,1
Austroplaca_soropelta,1
Austropleospora_ochracea,1
Austroroccella_gayana,1
Auxarthron_alboluteum,2
Auxarthron_californiense,1
Auxarthron_chinense,1
Auxarthron_chlamydosporum,1
Auxarthron_compactum,1
Auxarthron_concentricum,2
Auxarthron_conjugatum,1
Auxarthron_filamentosum,1
Auxarthron_guangxiense,1
Auxarthron_longisporum,1
Auxarthron_ostraviense,1
Auxarthron_pseudauxarthron,1
Auxarthron_sp,46
Auxarthron_umbrinum,4
Auxarthron_zuffianum,1
Auxarthronopsis_bandhavgarhensis,1
Auxarthronopsis_globiasca,1
Auxarthronopsis_guizhouensis,1
Auxarthronopsis_pedicellaris,1
Auxarthronopsis_pulverea,1
Auxarthronopsis_stercicola,1
Avachytrium_platense,2
Babjevia_anomala,1
Babjeviella_inositovora,1
Babosia_variospora,1
Bachmanniomyces_punctum,2
Bacidia_albogranulosa,1
Bacidia_arceutina,1
Bacidia_areolata,1
Bacidia_auerswaldii,1
Bacidia_bagliettoana,2
Bacidia_beckhausii,1
Bacidia_biatorina,1
Bacidia_cylindrophora,1
Bacidia_diffracta,1
Bacidia_elongata,1
Bacidia_fuscoviridis,1
Bacidia_hyalina,1
Bacidia_incompta,1
Bacidia_inundata,1
Bacidia_kurilensis,1
Bacidia_laurocerasi,1
Bacidia_neosquamulosa,1
Bacidia_obtecta,1
Bacidia_rubella,2
Bacidia_sachalinensis,1
Bacidia_schweinitzii,3
Bacidia_sigmospora,1
Bacidia_sorediata,2
Bacidia_sp,6
Bacidia_suffusa,1
Bacidia_vermifera,2
Bacidina_adastra,1
Bacidina_arnoldiana,3
Bacidina_brandii,1
Bacidina_egenula,1
Bacidina_mendax,1
Bacidina_modesta,1
Bacidina_pycnidiata,1
Bacidina_sp,5
Bacidina_terricola,1
Bacidina_violacea,1
Bacillicladium_clematidis,1
Bacillicladium_lobatum,1
Backusella_australiensis,2
Backusella_azygospora,1
Backusella_chlamydospora,1
Backusella_circina,1
Backusella_constricta,1
Backusella_gigacellularis,1
Backusella_grandis,1
Backusella_indica,1
Backusella_koreana,1
Backusella_lamprospora,2
Backusella_liffmaniae,1
Backusella_luteola,1
Backusella_macrospora,1
Backusella_mclennaniae,2
Backusella_morwellensis,1
Backusella_oblongielliptica,1
Backusella_parvicylindrica,1
Backusella_psychrophila,1
Backusella_recurva,4
Backusella_sp,15
Backusella_tarrabulga,1
Backusella_thermophila,1
Backusella_tuberculispora,1
Backusella_variabilis,1
Backusella_westeae,1
Backusellaceae_sp,3
Bactridium_clavatum,1
Bactridium_flavum,1
Bactridium_subglandis,1
Bactrodesmiastrum_monilioides,1
Bactrodesmiastrum_obovatum,1
Bactrodesmiastrum_pyriforme,1
Bactrodesmium_abruptum,1
Bactrodesmium_diversum,1
Bactrodesmium_gabretae,1
Bactrodesmium_leptopus,1
Bactrodesmium_pallidum,1
Bactrodesmium_sp,3
Bactrospora_corticola,1
Bactrospora_dryina,1
Badarisama_sojae,1
Badarisama_sp,14
Badimia_pallidula,1
Baeomyces_carneus,1
Baeomyces_lotiformis,1
Baeomyces_placophyllus,2
Baeomyces_rufus,2
Baeomycetaceae_sp,1
Baeomycetales_sp,4
Baeospora_myosura,1
Baeospora_myriadophylla,1
Bagadiella_eucalypti,1
Bagadiella_eucalyptorum,1
Bagadiella_koalae,1
Bagadiella_lunata,1
Bagliettoa_calciseda,2
Bagliettoa_cazzae,1
Bagliettoa_limborioides,1
Bagliettoa_marmorea,3
Bagliettoa_parmigera,1
Bagliettoa_suzaeana,1
Bahusakala_longispora,1
Bahusakala_sp,1
Bahusutrabeeja_sp,1
Balansia_brunnans,1
Balansia_cyperi,1
Balansia_obtecta,1
Balansia_piluliformis,1
Ballistosporomyces_sasicola,1
Ballistosporomyces_sp,2
Ballistosporomyces_taupoensis,1
Ballistosporomyces_xanthus,1
Balsamia_filamentosa,2
Balsamia_gunerii,1
Balsamia_guozigouensis,1
Balsamia_hellenica,1
Balsamia_latispora,1
Balsamia_lishanensis,1
Balsamia_luyashanensis,1
Balsamia_maroccana,1
Balsamia_nigrans,2
Balsamia_oblonga,1
Balsamia_sp,10
Baltazaria_galactina,1
Baltazaria_neogalactina,1
Baltazaria_octopodites,2
Bambusaria_bambusae,1
Bambusicola_aquatica,1
Bambusicola_didymospora,1
Bambusicola_fusispora,1
Bambusicola_irregularispora,1
Bambusicola_loculata,1
Bambusicola_massarinia,1
Bambusicola_nanensis,1
Bambusicola_pustulata,1
Bambusicola_sichuanensis,1
Bambusicola_splendida,1
Bambusicola_subthailandica,1
Bambusicola_thailandica,1
Bambusicola_triseptatispora,1
Bambusicularia_brunnea,1
Bandonia_marina,1
Bandonia_sp,1
Bandoniozyma_aquatica,1
Bandoniozyma_noutii,1
Banhegyia_sp,6
Bankeraceae_sp,12
Banksiophoma_australiensis,1
Banksiophoma_sp,1
Bannoa_bischofiae,1
Bannoa_hahajimensis,1
Bannoa_macarangae,1
Bannoa_ogasawarensis,2
Bannoa_sp,2
Bannoa_syzygii,1
Bannozyma_arctica,1
Bannozyma_yamatoana,1
Baorangia_bicolor,1
Baorangia_major,1
Baorangia_sp,2
Barbatosphaeria_arboricola,1
Barbatosphaeria_barbirostris,1
Barbatosphaeria_dryina,1
Barbatosphaeria_hippocrepida,1
Barbatosphaeria_lignicola,1
Barbatosphaeria_neglecta,1
Barbatosphaeria_sp,1
Barbatosphaeria_varioseptata,1
Barbatosphaeriaceae_sp,3
Barlaeina_feurichiana,1
Barnettozyma_californica,3
Barnettozyma_hawaiiensis,1
Barnettozyma_populi,1
Barnettozyma_pratensis,1
Barnettozyma_siamensis,1
Barnettozyma_sp,2
Barnettozyma_vustinii,1
Barnettozyma_xylosica,1
Barrenia_panici,1
Barrenia_taeda,1
Barretomyces_calatheae,1
Barriopsis_archontophoenicis,1
Barriopsis_fusca,1
Barriopsis_iraniana,1
Barriopsis_sp,1
Barriopsis_tectonae,1
Barrmaelia_macrospora,1
Barrmaelia_moravica,1
Barrmaelia_rappazii,1
Barrmaelia_rhamnicola,1
Barrmaelia_serenoae,1
Barrmaeliaceae_sp,1
Barromyces_tenuis,1
Barssia_oregonensis,1
Barssia_sp,3
Bartalinia_pondoensis,2
Bartalinia_robillardoides,1
Bartalinia_sp,1
Basidioascus_magus,1
Basidioascus_persicus,1
Basidioascus_sp,5
Basidioascus_undulatus,1
Basidiobolales_sp,32
Basidiobolomycetes_sp,3
Basidiobolomycota_sp,15
Basidiobolus_magnus,1
Basidiobolus_microsporus,1
Basidiobolus_ranarum,7
Basidiobolus_sp,40
Basidiodendron_alni,1
Basidiodendron_caesiocinereum,2
Basidiodendron_caucasicum,1
Basidiodendron_cinerellum,1
Basidiodendron_eyrei,2
Basidiodendron_gelatinosum,1
Basidiodendron_glaucum,1
Basidiodendron_globisporum,1
Basidiodendron_grandinioides,1
Basidiodendron_groningae,1
Basidiodendron_iniquum,1
Basidiodendron_mexicanum,1
Basidiodendron_parile,1
Basidiodendron_pelinum,1
Basidiodendron_robenae,1
Basidiodendron_salebrosum,1
Basidiodendron_sp,31
Basidiodendron_spiculosum,1
Basidiodendron_trachysporum,1
Basidiodendron_walleynii,1
Basidiodesertica_hydei,1
Basidiomycota_sp,1980
Basidiopycnis_hyalina,1
Basidioradulum_tasmanicum,1
Basiseptospora_fallax,1
Batcheloromyces_alistairii,1
Batcheloromyces_sedgefieldii,1
Bathelium_madreporiforme,1
Bathelium_porinosporum,2
Batistopsora_crucis-filii,1
Batnamyces_globulariicola,1
Batrachochytrium_dendrobatidis,10
Batrachochytrium_salamandrivorans,1
Battarrea_phalloides,1
Battarrea_sp,4
Baudoinia_antilliensis,1
Baudoinia_caledoniensis,1
Baudoinia_compniacensis,1
Baudoinia_orientalis,1
Baudoinia_panamericana,1
Bauerago_sp,1
Beauveria_amorpha,2
Beauveria_asiatica,1
Beauveria_australis,1
Beauveria_bassiana,10
Beauveria_caledonica,1
Beauveria_felina,3
Beauveria_lii,1
Beauveria_malawiensis,2
Beauveria_pseudobassiana,1
Beauveria_sp,18
Beauveria_sungii,1
Beauveria_varroae,1
Beauveria_velata,1
Beauveria_vermiconia,2
Beauveriphora_sp,3
Begerowomyces_foliicola,1
Bellamyces_quercus,1
Bellemerea_alpina,1
Bellemerea_cinereorufescens,1
Bellemerea_sp,1
Belonidium_sp,1
Belonioscyphella_hypnorum,1
Belonioscyphella_sp,1
Belonium_coroniforme,1
Belonium_excelsior,1
Belonopsis_eriophori,1
Belonopsis_sp,2
Beltrania_aquatica,1
Beltrania_krabiensis,1
Beltrania_pseudorhombica,1
Beltrania_querna,1
Beltrania_sp,4
Beltraniaceae_sp,7
Beltraniella_acaciae,1
Beltraniella_endiandrae,1
Beltraniella_podocarpi,1
Beltraniella_pseudoportoricensis,1
Beltraniella_ramosiphora,1
Beltraniella_sp,6
Beltraniella_thailandica,1
Beltraniopsis_longiconidiophora,1
Beltraniopsis_neolitseae,1
Benjaminiella_multispora,1
Benjaminiella_poitrasii,1
Benjaminiella_youngii,1
Bensingtonia_bomiensis,1
Bensingtonia_ciliata,1
Bensingtonia_naganoensis,1
Bensingtonia_pseudonaganoensis,1
Bensingtonia_pseudorectispora,1
Bensingtonia_rectispora,1
Bensingtonia_sp,4
Bensingtonia_wuzhishanensis,1
Bergerella_atrofusca,1
Berkeleyomyces_basicola,3
Berkeleyomyces_rouxiae,1
Berkleasmium_aquaticum,1
Berkleasmium_ariense,1
Berkleasmium_concinnum,1
Berkleasmium_fusiforme,1
Berkleasmium_guangxiense,1
Berkleasmium_latisporum,1
Berkleasmium_longisporum,1
Berkleasmium_sp,19
Bertiella_ellipsoidea,1
Betamyces_americae-meridionalis,1
Betamyces_sp,23
Bettsia_alvei,1
Bettsia_fastidia,2
Beverwykella_pulmonaria,1
Bezerromyces_gobabebensis,1
Bezerromyces_pseudobrasiliensis,1
Bezerromyces_sp,10
Bezerromycetaceae_sp,1
Bhagirathimyces_himalayensis,1
Bhatiellae_rosae,1
Biannulariaceae_sp,3
Biappendiculispora_sp,11
Biatora_alaskana,1
Biatora_appalachiensis,1
Biatora_bacidioides,1
Biatora_britannica,1
Biatora_chrysantha,1
Biatora_efflorescens,1
Biatora_ementiens,2
Biatora_fallax,1
Biatora_helvola,2
Biatora_hertelii,3
Biatora_hypophaea,1
Biatora_ligni-mollis,1
Biatora_longispora,1
Biatora_ocelliformis,1
Biatora_pallens,1
Biatora_pontica,1
Biatora_radicicola,2
Biatora_sp,8
Biatora_sphaeroides,1
Biatora_sphaeroidiza,1
Biatora_subduplex,1
Biatora_terrae-novae,1
Biatora_toensbergii,1
Biatora_vacciniicola,1
Biatora_veteranorum,1
Biatoridium_monasteriense,1
Biatoropsis_hafellneri,1
Biatoropsis_minuta,1
Biatoropsis_sp,2
Biatoropsis_usnearum,4
Biatriospora_sp,18
Biatriosporaceae_sp,4
Bibbya_ruginosa,2
Bibbya_vermifera,1
Bicornispora_seditiosa,1
Bifiguratus_adelaidae,1
Bifiguratus_sp,18
Bifusella_camelliae,1
Bifusella_linearis,1
Bifusisporella_sichuanensis,1
Bifusisporella_sorghi,1
Bilimbia_lobulata,2
Bilimbia_sabuletorum,4
Bimuria_novae-zelandiae,2
Bimuria_omanensis,1
Binderoboletus_segoi,1
Bionectria_grammicospora,1
Bionectria_kowhai,1
Bionectria_ralfsii,1
Bionectria_setosa,1
Bionectria_sp,6
Bionectria_subquaternata,1
Bionectria_vesiculosa,1
Bionectriaceae_sp,137
Bipolaris_brachiariae,1
Bipolaris_chloridis,1
Bipolaris_clavata,1
Bipolaris_cynodontis,1
Bipolaris_drechsleri,1
Bipolaris_eleusines,1
Bipolaris_gossypina,1
Bipolaris_heliconiae,1
Bipolaris_maydis,2
Bipolaris_microlaenae,2
Bipolaris_microstegii,2
Bipolaris_omanensis,1
Bipolaris_oryzae,2
Bipolaris_panici-miliacei,1
Bipolaris_papendorfii,2
Bipolaris_peregianensis,1
Bipolaris_saccharicola,1
Bipolaris_secalis,1
Bipolaris_shoemakeri,1
Bipolaris_sorghicola,1
Bipolaris_sorokiniana,9
Bipolaris_sp,2
Bipolaris_subramanianii,1
Bipolaris_urochloae,1
Bipolaris_victoriae,1
Bipolaris_woodii,1
Bipolaris_yamadae,1
Bipolaris_zeae,1
Bipolaris_zeicola,1
Biscogniauxia_ambiens,1
Biscogniauxia_anceps,1
Biscogniauxia_arima,1
Biscogniauxia_atropunctata,2
Biscogniauxia_bartholomaei,1
Biscogniauxia_citriformis,1
Biscogniauxia_cylindrispora,1
Biscogniauxia_dendrobii,1
Biscogniauxia_formosana,1
Biscogniauxia_granmoi,1
Biscogniauxia_latirima,2
Biscogniauxia_magna,1
Biscogniauxia_mangiferae,1
Biscogniauxia_marginata,1
Biscogniauxia_mediterranea,2
Biscogniauxia_nothofagi,1
Biscogniauxia_nummularia,2
Biscogniauxia_repanda,1
Biscogniauxia_rosacearum,1
Biscogniauxia_sp,31
Biscogniauxia_whalleyi,1
Bisifusarium_aseptatum,1
Bisifusarium_biseptatum,1
Bisifusarium_delphinoides,2
Bisifusarium_dimerum,3
Bisifusarium_domesticum,1
Bisifusarium_penzigii,2
Bispora_betulina,1
Bisporella_citrina,1
Bisporella_montana,1
Bisporella_shangrilana,1
Bisporella_sp,3
Bisporostilbella_fusca,1
Bjerkandera_adusta,2
Bjerkandera_atroalba,2
Bjerkandera_centroamericana,1
Bjerkandera_ecuadorensis,1
Bjerkandera_fulgida,1
Bjerkandera_minispora,1
Bjerkandera_resupinata,1
Bjerkandera_sp,22
Blackwellomyces_calendulinus,1
Blackwellomyces_cardinalis,1
Blackwellomyces_lateris,1
Blackwellomyces_sp,3
Blakeslea_trispora,3
Blastacervulus_eucalypti,1
Blastacervulus_eucalyptorum,1
Blastacervulus_metrosideri,1
Blastenia_ammiospila,1
Blastenia_anatolica,1
Blastenia_circumpolaris,2
Blastenia_coralliza,2
Blastenia_crenularia,6
Blastenia_ferruginea,3
Blastenia_herbidella,1
Blastenia_hungarica,1
Blastenia_sp,9
Blastobotrys_adeninivorans,1
Blastobotrys_americanus,1
Blastobotrys_arbuscula,1
Blastobotrys_aristatus,1
Blastobotrys_attinorum,1
Blastobotrys_bombycis,1
Blastobotrys_buckinghamii,1
Blastobotrys_capitulatus,1
Blastobotrys_chiropterorum,1
Blastobotrys_elegans,1
Blastobotrys_illinoisensis,1
Blastobotrys_indianensis,1
Blastobotrys_malaysiensis,1
Blastobotrys_meliponae,1
Blastobotrys_mokoenaii,1
Blastobotrys_muscicola,1
Blastobotrys_niveus,3
Blastobotrys_parvus,1
Blastobotrys_peoriensis,1
Blastobotrys_persicus,1
Blastobotrys_proliferans,3
Blastobotrys_robertii,1
Blastobotrys_serpentis,1
Blastobotrys_sp,12
Blastobotrys_terrestris,1
Blastocladiaceae_sp,1
Blastocladiales_sp,79
Blastocladiella_britannica,1
Blastocladiella_emersonii,1
Blastocladiella_sp,2
Blastocladiomycetes_sp,2
Blastocladiomycota_sp,144
Blastomyces_gilchristii,1
Blastomyces_helicus,1
Blastomyces_parvus,3
Blastomyces_percursus,1
Blastospora_smilacis,1
Blastosporella_sp,1
Blastosporium_persicolor,1
Bloxamia_cyatheicola,1
Bloxamia_sp,1
Blumenavia_baturitensis,1
Blumenavia_crucis-hellenicae,1
Blumenavia_heroica,1
Blumenavia_sp,1
Blumenavia_toribiotalpaensis,1
Blumeria_americana,1
Blumeria_graminis,13
Blumeriella_jaapii,1
Blyttiomyces_helicus,1
Boekhoutia_sterigmata,1
Boeremia_populi,1
Boeremia_sp,2
Boidinia_aculeata,1
Boidinia_furfuracea,1
Boidinia_sp,5
Bolbitiaceae_sp,112
Bolbitius_bisporus,1
Bolbitius_callistus,1
Bolbitius_coprophilus,1
Bolbitius_excoriatus,1
Bolbitius_pallidus,1
Bolbitius_reticulatus,2
Bolbitius_sp,6
Bolbitius_titubans,2
Bolbitius_viscosus,1
Boletaceae_sp,194
Boletales_sp,56
Boletellus_areolatus,2
Boletellus_aurocontextus,1
Boletellus_chrysenteroides,1
Boletellus_domingensis,1
Boletellus_emodensis,1
Boletellus_obscurecoccineus,1
Boletellus_sp,10
Boletinellus_exiguus,1
Boletinellus_merulioides,2
Boletinellus_monticola,1
Boletinellus_rompelii,1
Boletinellus_sp,3
Boletinus_asiaticus,1
Boletopsis_grisea,1
Boletopsis_leucomelaena,4
Boletopsis_mediterraneensis,1
Boletopsis_nothofagi,1
Boletopsis_sp,7
Boletopsis_watlingii,1
Boletus_aereus,1
Boletus_albobrunnescens,1
Boletus_auripes,1
Boletus_austroedulis,1
Boletus_barrowsii,1
Boletus_billieae,1
Boletus_botryoides,1
Boletus_brunneotomentosus,1
Boletus_calopus,1
Boletus_campestris,1
Boletus_candidissimus,1
Boletus_eastwoodiae,1
Boletus_edulis,1
Boletus_fagacicola,1
Boletus_fibrillosus,1
Boletus_hiratsukae,1
Boletus_holoxanthus,1
Boletus_legaliae,1
Boletus_luridus,1
Boletus_mahoganicoloroides,1
Boletus_meiweiniuganjun,1
Boletus_miniatopallescens,1
Boletus_monilifer,1
Boletus_morrisii,2
Boletus_neoregius,1
Boletus_neotropicus,1
Boletus_nobilis,1
Boletus_nobilissimus,1
Boletus_occidentalis,1
Boletus_orientialbus,1
Boletus_paluster,1
Boletus_patrioticus,1
Boletus_pinophilus,1
Boletus_projectelloides,1
Boletus_pseudofrostii,1
Boletus_pseudopinophilus,1
Boletus_pulchrotinctus,1
Boletus_quercophilus,1
Boletus_reticulatus,2
Boletus_reticuloceps,1
Boletus_rhodopurpureus,1
Boletus_rhodoxanthus,1
Boletus_roseoareolatus,1
Boletus_roseogriseus,1
Boletus_roseopurpureus,1
Boletus_rubropunctus,1
Boletus_rubrosanguineus,1
Boletus_satanas,1
Boletus_semigastroideus,1
Boletus_shiyong,1
Boletus_sinoedulis,1
Boletus_sp,44
Boletus_subalpinus,1
Boletus_subvelutipes,1
Boletus_umbrinipileus,1
Boletus_variipes,2
Boletus_vermiculosoides,1
Boletus_vermiculosus,1
Boletus_violaceofuscus,1
Boletus_viscidiceps,1
Boliniaceae_sp,13
Boliniales_sp,17
Bondarzewia_berkeleyi,1
Bondarzewia_dickinsii,1
Bondarzewia_kirkii,1
Bondarzewia_mesenterica,1
Bondarzewia_occidentalis,1
Bondarzewia_podocarpi,1
Bondarzewia_retipora,1
Bondarzewia_sp,1
Bondarzewiaceae_sp,2
Boninogaster_phalloides,1
Bonomyces_afrosinopicus,1
Bonomyces_sinopicus,2
Bonomyces_sp,1
Boothiomyces_macroporosus,2
Boothiomyces_sp,2
Borealophlyctis_nickersoniae,1
Borealophlyctis_paxensis,1
Borealophlyctis_sp,1
Boreoplaca_ultrafrigida,1
Borofutus_dhakanus,1
Bothia_castanella,1
Bothia_fujianensis,1
Bothia_sp,2
Botryobambusa_fusicoccum,1
Botryobambusa_guizhouensis,1
Botryobasidiaceae_sp,8
Botryobasidium_aureum,1
Botryobasidium_candicans,3
Botryobasidium_conspersum,1
Botryobasidium_indicum,1
Botryobasidium_intertextum,2
Botryobasidium_laeve,3
Botryobasidium_medium,1
Botryobasidium_obtusisporum,1
Botryobasidium_sp,31
Botryobasidium_subcoronatum,3
Botryobasidium_tubulicystidium,1
Botryoderma_lateritium,1
Botryodiplodia_fraxini,1
Botryohypochnus_isabellinus,1
Botryohypoxylon_amazonense,1
Botryohypoxylon_sp,1
Botryolepraria_lesdainii,1
Botryolepraria_neotropica,1
Botryosphaeria_agaves,1
Botryosphaeria_auasmontanum,1
Botryosphaeria_corticis,1
Botryosphaeria_dothidea,2
Botryosphaeria_quercuum,1
Botryosphaeria_ramosa,1
Botryosphaeria_scharifii,1
Botryosphaeria_sp,48
Botryosphaeria_stevensii,1
Botryosphaeriaceae_sp,39
Botryosphaeriales_sp,26
Botryotinia_sp,4
Botryotrichum_atrogriseum,1
Botryotrichum_domesticum,1
Botryotrichum_retardatum,1
Botryotrichum_spirotrichum,1
Botryozyma_mucatilis,1
Botryozyma_nematodophila,1
Botrytis_caroliniana,1
Botrytis_cinerea,1
Botrytis_sp,2
Boubovia_luteola,1
Boubovia_nicholsonii,1
Boubovia_sp,28
Boubovia_vermiphila,1
Boudiera_acanthospora,1
Boudiera_tracheia,1
Bourdotia_sp,2
Bourdotigloea_grisea,1
Bourdotigloea_lanea,1
Bourdotigloea_sp,16
Bourdotigloea_vestita,1
Bovista_aestivalis,1
Bovista_cretacea,1
Bovista_furfuracea,1
Bovista_limosa,1
Bovista_paludosa,1
Bovista_plumbea,2
Bovista_promontorii,1
Bovista_psammophila,1
Bovista_pusilla,2
Bovista_pusilliformis,1
Bovista_sp,13
Bovista_tomentosa,1
Brachiosphaera_sp,1
Brachybasidiaceae_sp,3
Brachychaeta_variospora,1
Brachyconidiella_monilispora,1
Brachyconidiella_sp,2
Brachyphoris_oviparasitica,4
Brachyphoris_sp,4
Brachysporiella_navarrica,1
Brachysporium_nigrum,1
Brachysporium_sp,4
Bradymyces_alpinus,2
Bradymyces_graniticola,1
Bradymyces_pullus,1
Bradymyces_sp,9
Bradymyces_yunnanensis,1
Brahmaculus_magellanicus,1
Brahmaculus_moonlighticus,1
Brahmaculus_osornoensis,1
Brahmaculus_packhamiae,1
Branch01_sp,31
Branch02_sp,10
Branch03_sp,30
Branch04_sp,1
Branch06_sp,214
Branch07_sp,58
Brasiliomyces_malachrae,1
Brasilioporus_olivaceoflavidus,1
Bresadolia_paradoxa,1
Bresadolia_sp,1
Brettanomyces_nanus,1
Brettanomyces_sp,1
Breviappendix_rubi,1
Brevicalcar_sp,4
Brevicellicium_atlanticum,1
Brevicellicium_exile,2
Brevicellicium_molle,1
Brevicellicium_olivascens,2
Brevicellicium_sp,7
Brevicollum_hyalosporum,1
Brevicollum_versicolor,1
Brevistachys_globosa,1
Brevistachys_ossiformis,1
Brevistachys_variabilis,1
Brianaria_sp,1
Brianaria_tuberculata,1
Briansuttonomyces_eucalypti,1
Bridgeoporus_nobilissimus,1
Bridgeoporus_sinensis,1
Brigantiaea_crystallina,1
Brigantiaea_ferruginea,2
Brocchiosphaera_brocchiata,2
Brocchiosphaera_bulbiformis,1
Brocchiosphaera_microspora,3
Brocchiosphaera_sp,4
Brodoa_intestiniformis,1
Broomella_rosae,1
Broomella_vitalbae,1
Brownliella_kobeana,1
Brownliella_montisfracti,1
Brunaudia_phormigena,1
Brunneocarpos_banksiae,1
Brunneochlamydosporium_cibotii,1
Brunneochlamydosporium_nepalense,1
Brunneoclavispora_bambusae,1
Brunneoclavispora_camporesii,1
Brunneocorticium_sp,2
Brunneodinemasporium_brasiliense,1
Brunneodinemasporium_jonesii,1
Brunneodinemasporium_sp,2
Brunneofusispora_clematidis,1
Brunneofusispora_hyalina,1
Brunneofusispora_inclinatiostiola,1
Brunneofusispora_sennae-torae,1
Brunneofusispora_sp,2
Brunneomurispora_lonicerae,1
Brunneomyces_brunnescens,1
Brunneoporus_cyclopis,1
Brunneoporus_tuvensis,1
Brunneosphaerella_jonkershoekensis,1
Brunneosphaerella_protearum,1
Brunnipila_clandestina,1
Brunnipila_fuscescens,3
Brunnipila_palearum,1
Brunnipila_sp,1
Brunswickiella_parsonsiae,1
Brunswickiella_sp,1
Brycekendrickomyces_acaciae,1
Bryobilimbia_diapensiae,2
Bryobilimbia_fissuriseda,1
Bryobilimbia_hypnorum,1
Bryobilimbia_sp,4
Bryocaulon_divergens,1
Bryochiton_monascus,3
