Sample	ReadCount
S39_R2.fastq.gz	113872
S4_R1.fastq.gz	77508
S4_R2.fastq.gz	77508
S40_R1.fastq.gz	98561
S40_R2.fastq.gz	98561
S41_R1.fastq.gz	130676
S41_R2.fastq.gz	130676
S42_R1.fastq.gz	130300
S42_R2.fastq.gz	130300
S43_R1.fastq.gz	142695
S43_R2.fastq.gz	142695
S45_R1.fastq.gz	83438
S45_R2.fastq.gz	83438
S46_R1.fastq.gz	145884
S46_R2.fastq.gz	145884
S47_R1.fastq.gz	105795
S47_R2.fastq.gz	105795
S48_R1.fastq.gz	93763
S48_R2.fastq.gz	93763
S49_R1.fastq.gz	142794
S49_R2.fastq.gz	142794
S5_R1.fastq.gz	83799
S5_R2.fastq.gz	83799
S50_R1.fastq.gz	108998
S50_R2.fastq.gz	108998
S51_R1.fastq.gz	87178
S51_R2.fastq.gz	87178
S52_R1.fastq.gz	135992
S52_R2.fastq.gz	135992
S53_R1.fastq.gz	97403
S53_R2.fastq.gz	97403
S54_R1.fastq.gz	83479
S54_R2.fastq.gz	83479
S55_R1.fastq.gz	102983
S55_R2.fastq.gz	102983
S56_R1.fastq.gz	108107
S56_R2.fastq.gz	108107
S57_R1.fastq.gz	98914
S57_R2.fastq.gz	98914
S58_R1.fastq.gz	107346
S58_R2.fastq.gz	107346
S59_R1.fastq.gz	114340
S59_R2.fastq.gz	114340
S6_R1.fastq.gz	90210
S6_R2.fastq.gz	90210
S60_R1.fastq.gz	71865
S60_R2.fastq.gz	71865
S61_R1.fastq.gz	42247
S61_R2.fastq.gz	42247
S62_R1.fastq.gz	133997
S62_R2.fastq.gz	133997
S63_R1.fastq.gz	119632
S63_R2.fastq.gz	119632
S64_R1.fastq.gz	88403
S64_R2.fastq.gz	88403
S65_R1.fastq.gz	88914
S65_R2.fastq.gz	88914
S66_R1.fastq.gz	114340
S66_R2.fastq.gz	114340
S68_R1.fastq.gz	106334
S68_R2.fastq.gz	106334
S69_R1.fastq.gz	91870
S69_R2.fastq.gz	91870
S7_R1.fastq.gz	105397
S7_R2.fastq.gz	105397
S70_R1.fastq.gz	112095
S70_R2.fastq.gz	112095
S72_R1.fastq.gz	154483
S72_R2.fastq.gz	154483
S73_R1.fastq.gz	76900
S73_R2.fastq.gz	76900
S74_R1.fastq.gz	103365
S74_R2.fastq.gz	103365
S76_R1.fastq.gz	108378
S76_R2.fastq.gz	108378
S77_R1.fastq.gz	124997
S77_R2.fastq.gz	124997
S78_R1.fastq.gz	116151
S78_R2.fastq.gz	116151
S79_R1.fastq.gz	123866
S79_R2.fastq.gz	123866
S8_R1.fastq.gz	126135
S8_R2.fastq.gz	126135
S80_R1.fastq.gz	107208
S80_R2.fastq.gz	107208
S81_R1.fastq.gz	96866
S81_R2.fastq.gz	96866
S82_R1.fastq.gz	137340
S82_R2.fastq.gz	137340
S83_R1.fastq.gz	116877
S83_R2.fastq.gz	116877
S84_R1.fastq.gz	60309
S84_R2.fastq.gz	60309
S85_R1.fastq.gz	195516
S85_R2.fastq.gz	195516
S86_R1.fastq.gz	231854
S86_R2.fastq.gz	231854
S87_R1.fastq.gz	134505
S87_R2.fastq.gz	134505
S88_R1.fastq.gz	189609
S88_R2.fastq.gz	189609
S89_R1.fastq.gz	164138
S89_R2.fastq.gz	164138
S9_R1.fastq.gz	42518
S9_R2.fastq.gz	42518
S90_R1.fastq.gz	151117
S90_R2.fastq.gz	151117
S91_R1.fastq.gz	109073
S91_R2.fastq.gz	109073
S92_R1.fastq.gz	174466
S92_R2.fastq.gz	174466
S93_R1.fastq.gz	221758
S93_R2.fastq.gz	221758
S94_R1.fastq.gz	119091
S94_R2.fastq.gz	119091
S95_R1.fastq.gz	217765
S95_R2.fastq.gz	217765
S96_R1.fastq.gz	172830
S96_R2.fastq.gz	172830
S97_R1.fastq.gz	143814
S97_R2.fastq.gz	143814
S98_R1.fastq.gz	118895
S98_R2.fastq.gz	118895
S99_R1.fastq.gz	67690
S99_R2.fastq.gz	67690
SDNA_C1_R1.fastq.gz	780
SDNA_C1_R2.fastq.gz	780
SDNA_C2_R1.fastq.gz	852
SDNA_C2_R2.fastq.gz	852
SDNA_C3_R1.fastq.gz	6167
SDNA_C3_R2.fastq.gz	6167
SDNA_C4_R1.fastq.gz	2572
SDNA_C4_R2.fastq.gz	2572
SMC1_R1.fastq.gz	124968
SMC1_R2.fastq.gz	124968
SMC2_R1.fastq.gz	121340
SMC2_R2.fastq.gz	121340
SMC3_R1.fastq.gz	249574
SMC3_R2.fastq.gz	249574
SMC4_R1.fastq.gz	227111
SMC4_R2.fastq.gz	227111
SPCR_C1_R1.fastq.gz	657
SPCR_C1_R2.fastq.gz	657
SPCR_C2_R1.fastq.gz	2230
SPCR_C2_R2.fastq.gz	2230
SPCR_C3_R1.fastq.gz	4858
SPCR_C3_R2.fastq.gz	4858
SPCR_C4_R1.fastq.gz	2964
SPCR_C4_R2.fastq.gz	2964
