sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous
S116,2,D04,Plu,TRUE,100,2,Sample,FALSE
S117,2,E04,Cry,TRUE,1,2,Sample,FALSE
S119,2,G04,Control,TRUE,0,2,Sample,FALSE
S12,1,D02,Plu,TRUE,1,1,Sample,FALSE
S121,2,A05,Cin,TRUE,100,2,Sample,FALSE
S123,2,C05,Plu,TRUE,1,2,Sample,FALSE
S124,2,D05,Cry,TRUE,1,2,Sample,FALSE
S126,2,F05,Plu,TRUE,1,2,Sample,FALSE
S128,2,H05,Plu,TRUE,100,2,Sample,FALSE
S129,2,A06,Control,TRUE,0,2,Sample,FALSE
S13,1,E02,Control,TRUE,0,1,Sample,FALSE
S130,2,B06,Cin,TRUE,100,2,Sample,FALSE
S131,2,C06,Cin,TRUE,1,2,Sample,FALSE
S132,2,D06,Cry,TRUE,1,2,Sample,FALSE
S136,2,H06,Plu,TRUE,1,2,Sample,FALSE
S137,2,B07,Cry,TRUE,100,2,Sample,FALSE
S138,2,C07,Plu,TRUE,100,2,Sample,FALSE
S139,2,D07,Cin,TRUE,100,2,Sample,FALSE
S14,1,F02,Cin,TRUE,1,1,Sample,FALSE
S141,2,F07,Cry,TRUE,100,2,Sample,FALSE
S150,2,G08,Control,TRUE,0,2,Sample,FALSE
S151,2,H08,Cin,TRUE,1,2,Sample,FALSE
S152,2,A09,Cry,TRUE,1,2,Sample,FALSE
S153,2,B09,Plu,TRUE,1,2,Sample,FALSE
S158,2,F09,Cry,TRUE,1,2,Sample,FALSE
S163,2,D10,Plu,TRUE,100,2,Sample,FALSE
S164,2,E10,Plu,TRUE,1,2,Sample,FALSE
S167,2,H10,Plu,TRUE,100,2,Sample,FALSE
S168,2,A11,Cin,TRUE,1,2,Sample,FALSE
S17,1,B03,Cry,TRUE,100,1,Sample,FALSE
S18,1,C03,Control,TRUE,0,1,Sample,FALSE
S22,1,G03,Cry,TRUE,100,1,Sample,FALSE
S23,1,H03,Plu,TRUE,100,1,Sample,FALSE
S3,1,C01,Plu,TRUE,1,1,Sample,FALSE
S35,1,E05,Control,TRUE,0,1,Sample,FALSE
S36,1,F05,Plu,TRUE,100,1,Sample,FALSE
S37,1,G05,Cry,TRUE,100,1,Sample,FALSE
S38,1,H05,Cry,TRUE,1,1,Sample,FALSE
S39,1,A06,Cin,TRUE,1,1,Sample,FALSE
S4,1,D01,Plu,TRUE,1,1,Sample,FALSE
S42,1,D06,Plu,TRUE,1,1,Sample,FALSE
S45,1,G06,Cin,TRUE,100,1,Sample,FALSE
S46,1,H06,Cin,TRUE,1,1,Sample,FALSE
S47,1,A07,Plu,TRUE,100,1,Sample,FALSE
S48,1,B07,Cin,TRUE,100,1,Sample,FALSE
S49,1,C07,Cin,TRUE,1,1,Sample,FALSE
S50,1,D07,Control,TRUE,0,1,Sample,FALSE
S52,1,F07,Plu,TRUE,1,1,Sample,FALSE
S56,1,C08,Cry,TRUE,100,1,Sample,FALSE
S6,1,F01,Cry,TRUE,1,1,Sample,FALSE
S62,1,A09,Cry,TRUE,1,1,Sample,FALSE
S63,1,B09,Cin,TRUE,1,1,Sample,FALSE
S65,1,D09,Plu,TRUE,100,1,Sample,FALSE
S66,1,E09,Cin,TRUE,1,1,Sample,FALSE
S7,1,G01,Cry,TRUE,1,1,Sample,FALSE
S74,1,F10,Control,TRUE,0,1,Sample,FALSE
S79,1,C11,Control,TRUE,0,1,Sample,FALSE
