Genus,Number of sequences
Apiosporaceae_gen_Incertae_sedis,9
Apiosporina,1
Apiotrichum,38
Aplosporella,9
Apodospora,4
Apodus,13
Apoharknessia,3
Apoharknessiaceae_gen_Incertae_sedis,3
Apophysomyces,9
Aporospora,5
Aporpium,2
Appendiculella,1
Apseudocercosporella,1
Aquabispora,1
Aquadictyospora,1
Aquadiscula,1
Aquafiliformis,1
Aquamyces,2
Aquanectria,5
Aquapeziza,1
Aquapoterium,1
Aquapteridospora,4
Aquastroma,1
Aquasubmersa,2
Aquaticheirospora,1
Aquidictyomyces,1
Aquihelicascus,2
Aquilomyces,4
Aquimonospora,1
Arachnion,4
Arachniotus,5
Arachnocrea,2
Arachnomyces,20
Arachnomycetaceae_gen_Incertae_sedis,1
Arachnopeziza,39
Arachnopezizaceae_gen_Incertae_sedis,17
Arachnoscypha,1
Arachnotheca,7
Arambarria,2
Arboricolonus,1
Arbusculina,1
Arcangeliella,2
Archaeorhizomyces,300
Archaeorhizomycetaceae_gen_Incertae_sedis,15
Archaeorhizomycetales_gen_Incertae_sedis,188
Archaeorhizomycetes_gen_Incertae_sedis,51
Archaeospora,23
Archaeosporaceae_gen_Incertae_sedis,51
Archaeosporales_gen_Incertae_sedis,67
Archaeosporomycetes_gen_Incertae_sedis,16
Arcopilus,4
Arcticomyces,1
Arctocetraria,1
Arctomia,2
Arctoparmelia,5
Arcuadendron,4
Arcuatospora,6
Ardhachandra,4
Arecophila,1
Arenariomyces,2
Arezzomyces,1
Argopericonia,1
Aridoplaca,1
Arizonaphlyctis,15
Arkaya,1
Arkayaceae_gen_Incertae_sedis,2
Armillaria,43
Arnium,21
Aroramyces,4
Arpinia,1
Arrhenia,64
Arthonia,2
Arthoniaceae_gen_Incertae_sedis,1
Arthoniales_gen_Incertae_sedis,1
Arthoniomycetes_gen_Incertae_sedis,2
Arthopyrenia,3
Arthopyreniaceae_gen_Incertae_sedis,1
Arthrinium,37
Arthrobotrys,98
Arthrobotryum,1
Arthrocatena,3
Arthrocladiella,1
Arthrocladium,28
Arthroderma,31
Arthrodermataceae_gen_Incertae_sedis,7
Arthrographis,19
Arthromyces,5
Arthrophiala,1
Arthropsis,7
Arthroxylaria,3
Arthuriomyces,1
Articulospora,21
Artomyces,17
Arxiella,12
Arxotrichum,3
Asahinea,1
Ascagilis,2
Aschersonia,5
Ascobolaceae_gen_Incertae_sedis,60
Ascobolus,98
Ascobotryozyma,2
Ascocalvatia,1
Ascochyta,14
Ascocorticiaceae_gen_Incertae_sedis,4
Ascocorticium,17
Ascocoryne,13
Ascodesmidaceae_gen_Incertae_sedis,94
Ascodesmis,2
Ascoidea,1
Ascomycota_gen_Incertae_sedis,7038
Ascopolyporus,1
Ascosacculus,1
Ascosphaera,21
Ascosphaeraceae_gen_Incertae_sedis,4
Ascospirella,1
Ascotaiwania,5
Ascotremella,2
Ascotricha,12
Ascovaginospora,1
Ascovirgaria,6
Aseroe,1
Aspergillaceae_gen_Incertae_sedis,164
Aspergillus,533
Asperisporium,2
Asperopilum,1
Asperosporus,1
Aspicilia,69
Aspiciliella,16
Aspilidea,1
Asproinocybe,3
Asteridiella,2
Asterinales_gen_Incertae_sedis,18
Asterodon,1
Asteromella,2
Asteromyces,1
Asterophora,3
Asterostroma,17
Astraeus,18
Astragalicola,4
Astrocystis,8
Astrosphaeriellaceae_gen_Incertae_sedis,12
Astrosporina,7
Astrothelium,7
Athallia,8
Athelia,51
Atheliaceae_gen_Incertae_sedis,29
Atheliales_gen_Incertae_sedis,84
Athelicium,1
Atheloderma,1
Athelopsis,6
Atheniella,4
Atla,12
Atractidochium,1
Atractiella,12
Atractiellales_gen_Incertae_sedis,52
Atractiellomycetes_gen_Incertae_sedis,3
Atractium,5
Atractospora,63
Atractosporaceae_gen_Incertae_sedis,26
Atractosporales_gen_Incertae_sedis,44
Atractosporocybe,5
Atraporiella,1
Atripes,1
Atrocalyx,9
Atrophysma,1
Atrozythia,1
Aurantiascoma,1
Aurantiolachnea,1
Aurantiopileus,1
Aurantioporthe,1
Aurantiosacculus,3
Aurantiporus,3
Aurantipostia,1
Aurapex,1
Auratiopycnidiella,1
Aureobasidium,31
Aureoboletus,20
Aureoconidiella,1
Aureonarius,14
Aureovirgo,1
Auricularia,75
Auriculariaceae_gen_Incertae_sedis,33
Auriculariales_gen_Incertae_sedis,453
Auriculoscypha,1
Aurifilum,2
Auriporia,3
Auriscalpiaceae_gen_Incertae_sedis,1
Auriscalpium,13
Auritella,8
Australiasca,1
Australiascaceae_gen_Incertae_sedis,3
Australohydnum,1
Australoporus,1
Australosphaerella,1
Australovuilleminia,1
Austroafricana,4
Austroblastenia,1
Austroboletus,19
Austrocortinarius,1
Austrogautieria,12
Austrolecia,2
Austroparmelina,2
Austropaxillus,14
Austroplaca,5
Austropleospora,1
Austroroccella,1
Auxarthron,65
Auxarthronopsis,6
Avachytrium,2
Babjevia,1
Babjeviella,1
Babosia,1
Bachmanniomyces,2
Bacidia,37
Bacidina,16
Bacillicladium,2
Backusella,45
Backusellaceae_gen_Incertae_sedis,3
Bactridium,3
Bactrodesmiastrum,3
Bactrodesmium,8
Bactrospora,2
Badarisama,15
Badimia,1
Baeomyces,6
Baeomycetaceae_gen_Incertae_sedis,1
Baeomycetales_gen_Incertae_sedis,4
Baeospora,2
Bagadiella,4
Bagliettoa,9
Bahusakala,2
Bahusutrabeeja,1
Balansia,4
Ballistosporomyces,5
Balsamia,22
Baltazaria,4
Bambusaria,1
Bambusicola,13
Bambusicularia,1
Bandonia,2
Bandoniozyma,2
Banhegyia,6
Bankeraceae_gen_Incertae_sedis,12
Banksiophoma,2
Bannoa,8
Bannozyma,2
Baorangia,4
Barbatosphaeria,8
Barbatosphaeriaceae_gen_Incertae_sedis,3
Barlaeina,1
Barnettozyma,11
Barrenia,2
Barretomyces,1
Barriopsis,5
Barrmaelia,5
Barrmaeliaceae_gen_Incertae_sedis,1
Barromyces,1
Barssia,4
Bartalinia,4
Basidioascus,8
Basidiobolales_gen_Incertae_sedis,32
Basidiobolomycetes_gen_Incertae_sedis,3
Basidiobolomycota_gen_Incertae_sedis,15
Basidiobolus,49
Basidiodendron,52
Basidiodesertica,1
Basidiomycota_gen_Incertae_sedis,1980
Basidiopycnis,1
Basidioradulum,1
Basiseptospora,1
Batcheloromyces,2
Bathelium,3
Batistopsora,1
Batnamyces,1
Batrachochytrium,11
Battarrea,5
Baudoinia,5
Bauerago,1
Beauveria,45
Beauveriphora,3
Begerowomyces,1
Bellamyces,1
Bellemerea,3
Belonidium,1
