Species,Number of sequences
Phytophthora_quercetorum,3
Phytophthora_quercina,4
Phytophthora_quininea,1
Phytophthora_ramorum,11
Phytophthora_richardiae,2
Phytophthora_riparia,1
Phytophthora_rosacearum,4
Phytophthora_rubi,2
Phytophthora_sansomeana,1
Phytophthora_siskiyouensis,4
Phytophthora_sojae,1
Phytophthora_sp.kununurra,1
Phytophthora_sp.lagoariana,7
Phytophthora_sp.pecan,1
Phytophthora_sp.personii,1
Phytophthora_sulawesiensis,1
Phytophthora_syringae,3
Phytophthora_taxon_paludosa,1
Phytophthora_taxon_raspberry,1
Phytophthora_taxon_walnut,1
Phytophthora_tentaculata,3
Phytophthora_thermophila,2
Phytophthora_trifolii,1
Phytophthora_tropicalis,12
Phytophthora_uliginosa,2
Phytophthora_uniformis,1
Phytophthora_versiformis,1
Phytophthora_vignae,1
Phytophthora_x_alni,3
Phytophthora_x_multiformis,1
Phytophthora_x_stagnum,1
Phytopythium_aichiense,1
Phytopythium_boreale,1
Phytopythium_carbonicum,1
Phytopythium_chamaehyphon,1
Phytopythium_citrinum,2
Phytopythium_cucurbitacearum,1
Phytopythium_delwarense,1
Phytopythium_helicoides,2
Phytopythium_iriomotense,1
Phytopythium_litorale,1
Phytopythium_megacarpum,1
Phytopythium_mercuriale,1
Phytopythium_mirpurense,1
Phytopythium_montanum,1
Phytopythium_oedochilum,1
Phytopythium_ostracodes,1
Phytopythium_sindhum,1
Phytopythium_vexans,1
Pilasporangium_apinafurcum,1
Plasmopara_halstedii,2
Plasmopara_obducens,2
Plasmopara_viticola,1
Pseudoperonospora_cubensis,2
Pseudoperonospora_humuli,1
Pythium_adhaerens,1
Pythium_amasculinum,1
Pythium_angustatum,1
Pythium_aphanidermatum,1
Pythium_apiculatum,2
Pythium_apleroticum,1
Pythium_aquatile,1
Pythium_aristosporum,2
Pythium_arrhenomanes,2
Pythium_biforme,1
Pythium_brachiatum,1
Pythium_brassicae,1
Pythium_capillosum,1
Pythium_catenulatum,2
Pythium_chondricola,1
Pythium_coloratum,2
Pythium_conidiophorum,1
Pythium_contiguanum,1
Pythium_diclinum,1
Pythium_dissimile,1
Pythium_dissotocum,2
Pythium_flevoense,1
Pythium_folliculosum,1
Pythium_graminicola,2
Pythium_grandisporangium,1
Pythium_heterothallicum,1
Pythium_hydnosporum,1
Pythium_inflatum,1
Pythium_insidiosum,1
Pythium_jasmonium,1
Pythium_junctum,1
Pythium_kashmirense,1
Pythium_longandrum,1
Pythium_lutarium,1
Pythium_lycopersicum,1
Pythium_monospermum,1
Pythium_myriotylum,2
Pythium_oligandrum,2
Pythium_oopapillum,1
Pythium_ornamentatum,1
Pythium_pachycaule,1
Pythium_pectinolyticum,1
Pythium_periilum,1
Pythium_periplocum,1
Pythium_phragmiticola,1
Pythium_phragmitis,1
Pythium_pleroticum,1
Pythium_plurisporium,1
Pythium_porphyrae,1
Pythium_pyrilobum,2
Pythium_rhizo-oryzae,1
Pythium_rishiriense,1
Pythium_salpingophorum,1
Pythium_scleroteichum,1
Pythium_sukuiense,1
Pythium_tardicrescens,1
Pythium_torulosum,1
Pythium_tracheiphilum,1
Pythium_utonaiense,1
Pythium_vanterpoolii,2
Pythium_volutum,2
Salisapilia_bahamensis,1
Salisapilia_nakagirii,1
Salisapilia_sp.,1
Salisapilia_tartarea,1
Saprolegnia_diclina,1
Saprolegnia_ferax,1
Saprolegnia_parasitica,1
Sclerospora_graminicola,1
Thraustotheca_clavata,1
