input	filtered	denoisedF	denoisedR	merged	nonchim
S9	22033	14737	14244	14526	13938	13938
S90	35552	23119	22867	22720	21708	21708
S91	46265	25640	25338	25193	24804	24804
S92	91345	43893	43647	43371	42915	42812
S93	35391	17592	17308	17057	16853	16853
S94	53583	28107	27817	27715	26528	26472
S95	54505	28036	27751	27427	26888	26888
S96	32952	14184	13940	13738	13365	13365
S97	21703	7203	7066	6872	6689	6689
S98	36341	17107	16956	16719	16605	16605
S99	30029	20709	20436	20276	19745	19745
SDNA_C1	110	10	1	2	0	0
SDNA_C2	129	5	1	1	1	1
SDNA_C3	202	33	21	4	2	2
SDNA_C4	196	36	17	11	8	8
SMC1	9132	6508	6408	6360	6291	6291
SMC2	9188	6863	6785	6736	6687	6687
SMC3	38722	29604	29400	29385	29244	29241
SMC4	36909	28055	27880	27833	27680	27679
SPCR_C1	252	17	9	1	0	0
SPCR_C2	204	16	4	4	4	4
SPCR_C3	223	12	4	2	2	2
SPCR_C4	102	1	1	1	1	1
