Genus,Number of sequences
Enterobacillus,15
Enterobacter,2404
Enterococcus,2061
Enterorhabdus,136
Enteroscipio,2
Enterovibrio,26
Entomoplasma,12
Eoetvoesia,10
Epibacterium,50
Epulopiscium,193
Ercella,35
Ereboglobus,10
Eremococcus,7
Erwinia,259
Erysipelatoclostridium,158
Erysipelothrix,225
Erysipelotrichaceae_UCG-002,50
Erysipelotrichaceae_UCG-003,134
Erysipelotrichaceae_UCG-006,17
Erysipelotrichaceae_UCG-007,18
Erysipelotrichaceae_UCG-008,2
Erysipelotrichaceae_UCG-009,14
Erythrobacter,261
Escherichia-Shigella,7667
ESFC-1,13
Estrella,1
ET-SHO,7
Ethanoligenens,19
EUB33-2,5
Eubacterium,68
Eudoraea,9
Euryhalocaulis,8
Euzebya,9
Euzebyella,16
Ewamiania_TS0513,2
Exiguobacterium,366
Exilispira,15
Extensimonas,11
Ezakiella,37
F0058,47
F0332,49
F1-37X2,7
Fabibacter,24
Facklamia,42
Faecalibacterium,1950
Faecalibaculum,437
Faecalicoccus,5
Faecalitalea,48
Falsarthrobacter,2
Falsibacillus,2
Falsiporphyromonas,1
Falsirhodobacter,28
Falsochrobactrum,23
Family_XIII_AD3011_group,183
Family_XIII_UCG-001,37
Fangia,2
Fastidiosipila,291
Faucicola,1
FCPS473,29
FD2005,22
Fenollaria,57
Fermentimonas,137
Ferribacterium,38
Ferrimicrobium,9
Ferrimonas,44
Ferriphaselus,12
Ferrithrix,16
Ferritrophicum,68
Ferroglobus,3
Ferroplasma,38
Ferrovibrio,16
Ferrovum,31
Ferruginibacter,308
Fervidicella,2
Fervidicoccus,15
Fervidobacterium,51
FFCH5858,6
FFCH7168,19
Fibrella,17
Fibrisoma,9
Fibrobacter,181
Fictibacillus,98
Filibacter,3
Filifactor,18
Filimonas,26
Filobacillus,2
Filobacterium,4
Filomicrobium,71
Fimbriiglobus,76
Fimbriimonas,8
Finegoldia,164
Fischerella_CENA298,2
Fischerella_PCC-9339,60
Flagellimonas,4
Flammeovirga,42
Flaviaesturariibacter,19
Flavicella,10
Flaviflexus,13
Flavihumibacter,24
Flavimaricola,13
Flavimarina,7
Flaviramulus,2
Flavirhabdus,15
Flavisolibacter,198
Flavitalea,46
Flavivirga,4
Flavobacterium,2344
Flavonifractor,49
Flectobacillus,19
Flexibacter,17
Flexilinea,31
Flexistipes,6
Flexithrix,26
Flexivirga,10
Flindersiella,4
Floricoccus,5
Fluviicoccus,6
Fluviicola,232
Fluviimonas,3
Fodinibacter,2
Fodinibius,6
Fodinicola,2
Fodinicurvata,9
Foliisarcina,1
Fontibacillus,9
Fontibacter,3
Fonticella,66
Fontimonas,17
Formivibrio,4
Formosa,108
Fortiea_PCC-7126,3
Fournierella,31
Fr127,5
Francisella,244
Franconibacter,12
Frankia,53
Frateuria,33
Frederiksenia,11
Fretibacter,2
Fretibacterium,181
Friedmanniella,67
Frigidibacter,4
Frigoribacterium,27
Frischella,10
Frisingicoccus,33
Frondibacter,2
Frondihabitans,18
Fructilactobacillus,49
Fructobacillus,23
FS140-16B-02_marine_group,17
FS142-36B-02,14
Fuchsiella,3
Fuerstia,19
FukuN18_freshwater_group,20
FukuN57,15
Fulvibacter,2
Fulvimarina,8
Fulvimonas,9
Fulvitalea,1
Fulvivirga,42
Furfurilactobacillus,12
Fusibacter,331
Fusicatenibacter,403
Fusobacterium,1164
G12-WMSP1,16
Ga0074140,3
Gaetbulibacter,17
Gaiella,203
Galbibacter,6
Galbitalea,23
Galenea,2
Gallaecimonas,10
Gallibacterium,40
Gallicola,28
Gallionella,140
Gangjinia,9
Garciella,8
Gardnerella,22
Garicola,10
Garritya,2
Gayadomonas,2
GBChlB,15
GCA-900066575,107
GCA-900066755,6
Geitlerinema,3
Geitlerinema_LD9,3
Geitlerinema_PCC-7105,22
Geitlerinema_PCC-8501,18
Geitlerinema_PCC-9228,4
Gelidibacter,17
Gemella,364
Geminicoccus,11
Geminobacterium,17
Geminocystis_PCC-6308,21
Gemmata,191
Gemmatimonas,260
Gemmatirosa,8
Gemmobacter,59
Geoalkalibacter,22
Geobacillus,844
Geobacter,227
Geodermatophilus,65
Geofilum,1
Geoglobus,12
Geojedonia,3
Geomicrobium,9
Geopsychrobacter,16
Georgenia,49
Georgfuchsia,8
Geosporobacter,14
Geotalea,16
Geothermobacter,44
Geothermobacterium,4
Geothermomicrobium,4
Geothrix,50
Geotoga,4
Geovibrio,8
Gibbsiella,13
Giesbergeria,17
Gilliamella,69
Gillisia,41
Gilvibacter,11
Gilvimarinus,16
Gimesia,12
GKS98_freshwater_group,59
Glaciecola,57
Glaciibacter,4
Glaciihabitans,6
Glaciimonas,9
Globicatella,14
Gloeobacter_PCC-7421,6
Gloeocapsa,18
Gloeocapsa_PCC-7428,9
Gloeocapsopsis_BDHKU_35101,2
Gloeothece_PCC-6501,3
Gloeotrichia_PYH6,2
Gloeotrichia_SAG_32.84,3
Gluconacetobacter,70
Gluconobacter,146
Glutamicibacter,190
Glycocaulis,3
Glycomyces,71
Goodfellowiella,5
Gordonia,261
Gordonibacter,26
GOUTA6,40
Gracilibacillus,48
Gracilimonas,40
Gramella,55
Granulibacter,32
Granulicatella,225
Granulicella,190
Granulicoccus,3
Granulosicoccus,41
Greenland-10,2
Grimontia,33
Gryllotalpicola,18
GTL1,1
Gulbenkiania,2
Gulosibacter,8
Guyparkeria,20
GWD2-49-16,4
GWE2-31-10,22
GWE2-42-42,81
Gynuella,6
H1,13
Haematobacter,16
Haematomicrobium,1
Haematospirillum,9
Haemophilus,1532
Hafnia-Obesumbacterium,127
Hahella,31
Haladaptatus,32
Halalkalibacillus,3
Halalkalicoccus,14
Halanaeroarchaeum,19
Halanaerobacter,10
Halanaerobaculum,2
Halanaerobium,137
Halapricum,50
Halarchaeum,25
Halarcobacter,54
Halarsenatibacter,12
Haliangium,561
Haliea,12
Halioglobus,162
Halioxenophilus,3
Haliscomenobacter,35
Haloactinobacterium,3
Haloactinopolyspora,32
Haloactinospora,1
Haloarchaeobius,23
Haloarcula,220
Halobacillus,182
Halobacteriovorax,104
Halobacterium,82
Halobacteroides,9
Halobaculum,18
Halobellus,44
Halobiforma,16
Halocalculus,1
Halocella,23
Halochromatium,69
Halococcus,64
Halocynthiibacter,14
Halodesulfovibrio,37
Halodesulfurarchaeum,13
Halodurantibacterium,23
Haloechinothrix,1
Haloferax,116
Haloferula,29
Halofilum,22
Halogeometricum,38
Haloglycomyces,1
Halogranum,16
Halohasta,19
Haloimpatiens,20
Halolactibacillus,33
Halolamina,69
Halomarina,21
Halomicroarcula,40
Halomicrobium,65
Halomicronema,2
Halomicronema_C2206,2
Halomicronema_TFEP1,6
Halomonas,1327
Halonatronum,3
Halonotius,98
Haloparvum,38
Halopelagius,8
Halopenitus,8
Halopeptonella,18
Halopiger,27
Haloplanus,47
Haloplasma,28
Halopolyspora,4
Haloquadratum,72
Halorhabdus,20
Halorhodospira,47
Halorientalis,19
Halorubellus,16
Halorubrum,347
Halorussus,33
Halosiccatus,3
Halosimplex,38
Halospina,6
Halospirulina_CCC_Baja-95_Cl.2,10
Halostagnicola,18
Halostella,5
Halotalea,7
Haloterrigena,127
Halothermothrix,6
Halothiobacillus,35
Halotia_CENA158,3
Halovarius,1
Halovenus,22
Halovibrio,7
Halovivax,20
Halovulum,12
Hamadaea,9
Hansschlegelia,10
Hanstruepera,2
Haoranjiania,6
Harryflintia,11
Hartmannibacter,3
Hasllibacter,2
Hassallia,57
Hathewaya,20
HAVOmat113,8
Hazenella,3
HdN1,3
Helcobacillus,13
Helcococcus,68
Helicobacter,640
Heliimonas,7
Heliobacillus,7
Heliobacterium,19
Heliophilum,3
Heliorestis,5
Hellea,9
Henriciella,15
Hephaestia,7
Herbaspirillum,157
Herbiconiux,15
Herbidospora,8
Herbihabitans,4
Herbinix,49
Herminiimonas,96
Herpetosiphon,21
Hespellia,6
hgcI_clade,329
HIMB11,42
Hippea,12
Hirschia,61
Histophilus,68
HK-RBC54,2
HN-HF0106,80
hoa5-07d05_gut_group,12
Hoeflea,27
Holdemanella,182
Holdemania,7
Holophaga,19
Holospora,9
Holzapfelia,1
Homoserinibacter,4
Homoserinimonas,3
Hoppeia,13
Hormoscilla_SI04-45,12
horsej-a03,18
Howardella,30
Hoyosella,9
HSB_OF53-F07,33
HT002,12
HTCC5015,16
Huakuichenia,7
Huanghella,1
Hugenholtzia,5
Humibacillus,7
Humibacter,12
Humitalea,1
Hungateiclostridium,43
Hungatella,132
Hwangdonia,3
Hwanghaeicola,2
Hyalangium,1
Hydrobacter,2
Hydrocarboniphaga,19
Hydrogenibacillus,5
Hydrogenimonas,20
Hydrogenivirga,4
Hydrogenobacter,30
Hydrogenobaculum,45
Hydrogenophaga,260
Hydrogenophilus,30
Hydrogenothermus,7
Hydrogenovibrio,4
Hydrotalea,8
Hylemonella,12
Hymenobacter,585
Hyperthermus,3
Hyphobacterium,10
Hyphococcus,10
Hyphomicrobium,300
Hyphomonas,106
Hypnocyclicus,18
Hyunsoonleella,11
I-8,12
Iamia,144
Ichthyenterobacterium,3
Ichthyobacterium,11
Ideonella,56
Idiomarina,201
Ignatzschineria,13
Ignavibacterium,76
Ignavigranum,20
Ignicoccus,11
Ignisphaera,29
IheB2-23,19
IheB2-31,3
IheB3-7,59
Ileibacterium,7
Ilumatobacter,97
Ilyobacter,12
IMCC26134,24
IMCC26207,44
Immundisolibacter,41
Imperialibacter,20
Imtechella,2
Incertae_Sedis,494
Indibacter,4
Inhella,21
Inmirania,7
Inquilinus,35
Insolitispirillum,8
Intestinibacter,58
Intestinimonas,44
Intrasporangium,22
Iodidimonas,10
Iodobacter,21
Iphinoe_LOS-B1,4
Irregularibacter,9
IS-44,77
Isobaculum,1
Isochromatium,1
Isoptericola,71
Isosphaera,18
Izhakiella,25
Izimaplasma,23
Jahnella,3
Janibacter,68
Jannaschia,49
Janthinobacterium,209
Jatrophihabitans,96
JCM_18997,5
JdFR-20,2
JdFR-45,3
JdFR-76,24
Jejudonia,7
Jejuia,3
Jeongeupia,8
Jeotgalibaca,54
Jeotgalibacillus,39
Jeotgalicoccus,60
JG30a-KF-32,21
JGI_0001001-H03,156
JGI-0000079-D21,50
Jhaorihella,12
Jiangella,20
Jiella,4
JL-ETNP-F27,28
JL-ETNP-Z34,2
Johnsonella,36
Jonesia,25
Jonquetella,1
Joostella,10
JSC-12,9
JTB255_marine_benthic_group,46
Kaistia,25
Kallotenue,4
Kamptonema_PCC-6407,10
Kandleria,2
Kangiella,35
KCM-B-112,57
KD3-10,23
Keratinibaculum,8
Kerstersia,27
Ketobacter,41
Ketogulonicigenium,35
Kibdelosporangium,26
Kiloniella,7
Kineococcus,44
Kineosphaera,4
Kineosporia,29
Kingella,122
Kinneretia,6
Kiritimatiella,3
Kistimonas,9
Kitasatospora,186
Klebsiella,3467
Klenkia,14
Klugiella,4
Kluyvera,101
Knoellia,35
Kocuria,349
Komagataeibacter,176
Kordia,34
Kordiimonas,78
Kosakonia,213
Kosmotoga,9
Koukoulia,2
Kouleothrix,10
Kozakia,19
Krasilnikovia,8
Krasilnikoviella,2
Kribbella,82
Kribbia,2
Kriegella,2
Kroppenstedtia,11
Ktedonobacter,32
Kurthia,63
Kushneria,28
Kutzneria,8
Kyrpidia,28
Kytococcus,13
Labedaea,1
Labedella,4
Labilibacter,14
Labilithrix,10
Labrenzia,87
Labrys,53
Laceyella,27
Lachnoanaerobaculum,58
Lachnobacterium,2
Lachnoclostridium,1449
Lachnospira,141
Lachnospiraceae_AC2044_group,209
Lachnospiraceae_FCS020_group,157
Lachnospiraceae_FE2018_group,15
Lachnospiraceae_NC2004_group,171
Lachnospiraceae_ND3007_group,239
Lachnospiraceae_NK3A20_group,359
Lachnospiraceae_NK4A136_group,2262
Lachnospiraceae_NK4B4_group,18
Lachnospiraceae_UCG-001,376
Lachnospiraceae_UCG-002,23
Lachnospiraceae_UCG-003,23
Lachnospiraceae_UCG-004,191
Lachnospiraceae_UCG-006,188
Lachnospiraceae_UCG-007,7
Lachnospiraceae_UCG-008,692
Lachnospiraceae_UCG-009,27
Lachnospiraceae_UCG-010,20
Lachnospiraceae_XPB1014_group,204
Lachnotalea,6
Lacibacter,16
Lacibacterium,1
Lacihabitans,20
Lacimicrobium,12
Lacimonas,8
Lacinutrix,23
Lacticaseibacillus,587
Lacticigenium,5
Lactiplantibacillus,998
Lactivibrio,15
Lactobacillus,1408
Lactococcus,639
Lactonifactor,6
Lactovum,15
Lacunisphaera,95
Lamprocystis,13
Lampropedia,11
Lapidilactobacillus,4
Lapillicoccus,19
Laribacter,29
Larkinella,26
Larsenimonas,3
Latilactobacillus,276
Lautropia,194
Lawsonella,144
Lawsonia,9
LB3-76,9
LCP-80,51
LD29,51
Leadbetterella,21
Lebetimonas,8
Lechevalieria,71
Leeia,15
Leeuwenhoekiella,24
Legionella,787
Leifsonia,98
Leisingera,29
Lelliottia,44
Leminorella,11
Lentibacillus,26
Lentibacter,25
Lentilactobacillus,136
Lentilitoribacter,8
Lentimicrobium,266
Lentimonas,83
Lentisphaera,33
Leptobacterium,2
Leptococcus_JA-3-3Ab,13
Leptolinea,127
Leptolyngbya_ANT.L52.2,41
Leptolyngbya_ANT.L67.1,11
Leptolyngbya_BN43,3
Leptolyngbya_EcFYyyy-00,12
Leptolyngbya_Es-Yyy1000,5
Leptolyngbya_FYG,8
Leptolyngbya_LEGE-06070,3
Leptolyngbya_PCC-6306,43
Leptolyngbya_PCC-6406,5
Leptolyngbya_RV74,5
Leptolyngbya_SAG_2411,3
Leptolyngbya_VRUC_135,28
Leptonema,5
Leptospira,204
Leptospirillum,182
Leptothrix,92
Leptotrichia,349
Leucobacter,227
Leuconostoc,406
Leucothrix,28
Levilactobacillus,227
Levilinea,17
Lewinella,136
Libanicoccus,16
Ligilactobacillus,414
Lihuaxuella,3
Limibacillus,11
Limibacter,2
Limibaculum,94
Limimaricola,21
Limimonas,11
Limisphaera,4
Limnobacter,202
Limnochorda,7
Limnohabitans,237
Limnolyngbya_CHAB4449,4
Limnothrix,33
Limosilactobacillus,747
Lipingzhangella,5
Liquorilactobacillus,37
Lishizhenia,3
Listeria,1269
Litoreibacter,15
Litoribacillus,2
Litoribacter,2
Litoribaculum,1
Litoribrevibacter,2
Litoricola,27
Litorilinea,23
Litorilituus,1
Litorimicrobium,14
Litorimonas,12
Litorisediminicola,1
Litorisediminivivens,2
Litorivivens,7
LNR_A2-18,11
Loigolactobacillus,73
Loktanella,7
Lonepinella,3
Longilinea,163
Longimicrobium,15
Longimonas,8
Longimycelium,8
Longispora,21
Longivirga,8
Lonsdalea,22
Loriellopsis_LF-B5,6
LS-NOB,84
Luedemannella,34
Luethyella,1
Luminiphilus,29
Lunatimonas,4
Lutaonella,1
Luteibacter,63
Luteibaculum,8
Luteimicrobium,6
Luteimonas,245
Luteipulveratus,4
Luteitalea,57
Luteivirga,8
Luteococcus,13
Luteolibacter,211
Lutibacter,69
Lutibaculum,3
Lutimaribacter,13
Lutimonas,14
Lyngbya_PCC-7419,44
Lysinibacillus,794
Lysinimicrobium,16
Lysinimonas,15
Lysobacter,465
Lyticum,1
M2PB4-61_termite_group,22
M2PT2-76_termite_group,11
Macellibacteroides,62
Macrococcus,51
Macromonas,4
Mageeibacillus,10
Magnetococcus,196
Magnetospira,58
Magnetospirillum,54
Magnetovibrio,46
Mahella,8
Mailhella,10
Malaciobacter,54
Malikia,16
Maliponia,1
Malonomonas,8
Mameliella,17
Mangrovibacter,11
Mangrovibacterium,4
Mangroviflexus,11
Mangrovimonas,5
Mannheimia,165
Maribacter,131
Maribius,8
Maricaulis,31
Marichromatium,18
Maricurvus,2
Marihabitans,2
Marimicrobium,8
Marinactinospora,2
Marinagarivorans,4
Marinateneraspora,1
marine_group,34
Marine_Methylotrophic_Group_2,71
Marine_Methylotrophic_Group_3,40
Marinibacterium,18
Marinibactrum,1
Marinicaulis,20
Marinicella,55
Marinifilum,229
Mariniflexile,11
Marinilabilia,8
Marinilactibacillus,36
Marinilutecoccus,10
Marinimicrobium,40
Marininema,2
Mariniphaga,7
Mariniradius,4
Marinithermus,4
Marinitoga,14
Marinobacter,614
Marinobacterium,129
Marinococcus,47
Marinomonas,179
Marinoscillum,75
Marinospirillum,25
Marinosulfonomonas,1
Marinovum,25
Mariprofundus,137
Marisediminicola,12
Marispirillum,6
Maritalea,14
Maritimibacter,19
Maritimimonas,135
Marivirga,27
Marivita,39
Marivivens,17
Marixanthomonas,10
Marmoricola,76
Martelella,34
Marvinbryantia,250
Massilia,1086
Mastigocladopsis_PCC-10914,25
Mastigocoleus_BC008,2
MAT-CR-P4-C12,11
MB11C04_marine_group,79
MBIC10086,5
MD3-55,20
Mechercharimyces,4
Megamonas,71
Megasphaera,169
Meiothermus,90
Melghirimyces,7
Melioribacter,13
Melissococcus,21
Melittangium,7
Membranicola,21
Meniscus,17
Merdibacter,5
Meridianimaribacter,4
Merismopedia_0BB39S01,3
Merismopedia_AICB1015,2
Mesoaciditoga,13
Mesocricetibacter,4
Mesoflavibacter,20
Mesonia,25
Mesoplasma,74
Mesorhizobium,559
Mesotoga,36
Metallibacterium,15
Metallosphaera,46
Methanimicrococcus,34
Methanobacterium,229
Methanobrevibacter,1038
Methanocalculus,34
Methanocaldococcus,33
Methanocella,53
Methanococcoides,49
Methanococcus,46
Methanocorpusculum,47
Methanoculleus,204
Methanofollis,22
Methanogenium,32
Methanohalobium,5
Methanohalophilus,42
Methanolacinia,7
Methanolinea,99
Methanolobus,68
Methanomassiliicoccus,20
Methanomethylovorans,50
Methanomicrobium,39
Methanoplanus,5
Methanopyrus,9
Methanoregula,186
Methanosaeta,566
Methanosalsum,5
Methanosarcina,306
Methanosphaera,202
Methanosphaerula,6
Methanospirillum,118
Methanothermobacter,52
Methanothermococcus,10
Methanothermus,3
Methanotorris,15
Methermicoccus,4
Methylarcula,2
Methylibium,26
Methylobacillus,32
Methylobacter,56
Methylobacterium-Methylorubrum,670
Methylobrevis,1
Methylocaldum,21
Methylocapsa,11
Methyloceanibacter,33
Methylocella,21
Methylococcus,19
Methylocystis,57
Methyloferula,5
Methylogaea,1
Methyloglobulus,13
Methylohalobius,4
Methyloligella,2
Methylomagnum,4
Methylomarinovum,3
Methylomarinum,9
Methylomicrobium,33
Methylomonas,91
Methylomusa,5
Methylonatrum,10
Methyloparacoccus,14
Methylophaga,128
Methylophilus,113
Methylopila,9
Methyloprofundus,55
Methylorhabdus,2
Methylorosula,24
Methylosarcina,9
Methylosinus,18
Methylosoma,1
Methylosphaera,1
Methylotenera,148
Methyloterricola,1
Methyloterrigena,2
Methylothermus,5
Methyloversatilis,44
Methylovirgula,15
Methylovorus,9
Methylovulum,19
Mf105b01,14
Micavibrio,3
Microaerobacter,1
Microbacter,10
Microbacterium,1167
Microbispora,53
Microbulbifer,101
Microcella,5
Micrococcus,332
Microcoleus_CENA344,2
Microcoleus_Es-Yyy1400,7
Microcoleus_PCC-7113,6
Microcoleus_SAG_1449-1a,20
Microcystis_NIES42,2
Microcystis_PCC-7914,79
Microlunatus,80
Micromonospora,580
Micropepsis,7
Micropruina,12
Microscilla,12
Microseira_Carmichael-Alabama,11
Microterricola,9
Microtetraspora,8
Microvirga,175
Microvirgula,16
Milano-WF1B-03,38
Milano-WF1B-42,3
Millisia,1
Minicystis,13
Miniimonas,3
Mitsuaria,19
Mitsuokella,39
MIZ14,2
MIZ17,7
MIZ36,7
Mizugakiibacter,8
ML310M-34,10
ML602J-51,9
mle1-7,69
MM1,9
MM2,19
MN_122.2a,7
MND1,290
Mobilicoccus,8
Mobilisporobacter,1
Mobilitalea,11
Mobiluncus,35
Modestobacter,46
Modicisalibacter,4
Moellerella,3
Mogibacterium,181
Moheibacter,43
Mongoliibacter,1
Mongoliicoccus,4
Mongoliitalea,5
Monoglobus,352
Moorea,10
Mooreia,3
Moorella,39
Moraxella,345
Morganella,180
Moritella,70
Moryella,56
Motilibacter,6
Motilimonas,4
Motiliproteus,14
MSB-1D1,6
MSBL3,36
MSBL7,51
MTP1,3
Mucilaginibacter,319
Mucinivorans,5
Mucispirillum,26
Mumia,7
Murdochiella,24
Muribacter,27
Muribaculum,31
Muricauda,113
Muricoccus,2
Muriicola,8
Murimonas,2
Murinocardiopsis,1
MWH-Ta3,5
Myceligenerans,15
Mycetocola,34
Mycoavidus,5
Mycobacterium,1572
Mycoplana,8
Mycoplasma,675
Myroides,117
Myxococcus,114
Myxosarcina_GI1,2
Myxosarcina_SAG_30.84,10
NA,113702
Naasia,4
Nafulsella,3
Nakamurella,86
Nannocystis,58
Nanoarchaeum,22
Natranaerobius,17
Natranaerovirga,5
Natrialba,48
Natribacillus,10
Natribaculum,2
Natrinema,31
Natroniella,4
Natronoarchaeum,26
Natronobacillus,1
Natronobacterium,12
Natronocella,1
Natronococcus,41
Natronoflexus,1
Natronohydrobacter,2
Natronolimnobius,17
Natronomonas,79
Natronorubrum,43
Natronotalea,2
Natronovirga,5
Naumannella,3
Nautella,28
Nautilia,11
Necropsobacter,4
NED5E9,3
Negadavirga,2
Negativibacillus,62
Negativicoccus,14
Neiella,4
Neisseria,1395
Neo-b11,3
Neoasaia,7
Neochlamydia,25
Neokomagataea,3
Neomegalonema,9
Neomicrococcus,8
Neorhizobium,23
Neorickettsia,25
Neoscardovia,1
Neosynechococcus,1
Neptuniibacter,32
Neptunitalea,4
Neptunomonas,18
Nereida,8
Nesiotobacter,2
Nesterenkonia,76
Nevskia,40
Nguyenibacter,2
Niabella,62
Niastella,59
Nibrella,5
Nibribacter,23
Nicoletella,17
Nioella,21
Nisaea,12
Nissabacter,2
Nitratifractor,84
Nitratireductor,105
Nitratiruptor,20
Nitriliruptor,3
Nitrincola,24
Nitritalea,2
Nitrobacter,22
Nitrococcus,7
Nitrolancea,19
Nitrosarchaeum,63
Nitrosococcus,15
Nitrosomonas,210
Nitrosospira,49
Nitrospina,139
Nitrospira,539
Nitrospirillum,20
Niveibacterium,4
Niveispirillum,36
Niveitalea,1
NK4A214_group,687
Nocardia,700
Nocardioides,846
Nocardiopsis,311
Nodosilinea_PCC-7104,88
Nodularia_PCC-9350,48
Nonlabens,65
Nonomuraea,199
Nordella,56
Nosocomiicoccus,18
Nostoc,1
Nostoc_0708,4
Nostoc_BDU-40302,7
Nostoc_PCC-7107,59
Nostoc_PCC-73102,161
Nostoc_PCC-7524,74
Nostoc_PCC-8976,35
Nostoc_SAG_60.79,6
Nostocoida,1
Novibacillus,10
Noviherbaspirillum,243
Novispirillum,7
Novosphingobium,564
NS10_marine_group,41
NS2b_marine_group,54
NS3a_marine_group,35
NS4_marine_group,144
NS5_marine_group,249
Nubsella,21
Oblitimonas,36
oc32,27
Occallatibacter,126
Oceanibacterium,1
Oceanibaculum,7
Oceanibulbus,6
Oceanicaulis,51
Oceanicella,11
Oceanicoccus,3
Oceanicola,10
Oceanimonas,28
Oceaniovalibus,4
Oceanirhabdus,3
Oceaniserpentilla,5
Oceanisphaera,55
Oceanithermus,8
Oceanivirga,40
Oceanobacillus,229
Oceanobacter,18
Oceanobacterium,5
Oceanococcus,4
Oceanospirillum,19
Oceanotoga,2
Ochrobactrum,319
Ochrovirga,1
Octadecabacter,44
Odoribacter,108
Oenococcus,19
Oerskovia,21
Ohtaekwangia,53
Oikopleura,20
Okibacterium,9
OLB12,36
OLB13,15
OLB15,2
OLB17,9
OLB8,18
Oleiagrimonas,6
Oleibacter,24
Oleiphilus,36
Oleispira,30
Oleomonas,1
Oligella,17
Oligoflexus,31
Oligosphaera,4
Oligotropha,6
Olivibacter,36
Olleya,23
Olsenella,94
OM27_clade,304
OM43_clade,131
OM60(NOR5)_clade,211
OM75_clade,32
Opitutus,106
Orbus,5
Orenia,19
Oribacterium,154
Oricola,4
Orientia,16
Ornatilinea,25
Ornithinibacillus,23
Ornithinibacter,10
Ornithinicoccus,18
Ornithinimicrobium,42
Ornithobacterium,40
Orrella,4
Oryzihumus,20
Oscillatoria,1
Oscillatoria_PCC-10802,21
Oscillatoria_PCC-6304,21
Oscillatoria_SAG_1459-8,6
Oscillatoria_SAG8.92,2
Oscillibacter,272
Oscillochloris,5
Oscillospira,29
Otariodibacter,98
Ottowia,95
Owenweeksia,35
Oxalicibacterium,20
Oxalobacter,28
Oxalophagus,3
Oxobacter,62
Oxynema_BDU_92071,5
p-1088-a5_gut_group,41
P3OB-42,268
P3OB-51,3
Pacificibacter,4
Paenalcaligenes,22
Paenarthrobacter,162
Paenibacillus,2903
Paeniclostridium,60
Paeniglutamicibacter,62
Paenirhodobacter,9
Paenisporosarcina,57
Paenochrobactrum,14
Pajaroellobacter,128
Palaeococcus,10
Palleronia-Pseudomaribius,11
Paludibacter,153
Paludibacterium,23
Paludicola,29
Paludisphaera,25
Panacagrimonas,14
Pandoraea,132
Pannonibacter,33
Pantalinema,4
Pantoea,1018
Papillibacter,73
Parabacteroides,472
Parablastomonas,5
Parachlamydia,8
Paraclostridium,108
Paracoccus,560
Paracraurococcus,2
Paradevosia,2
Paraeggerthella,7
Parafilimonas,20
Parafrigoribacterium,47
Paraglaciecola,79
Parahaliea,25
Paraherbaspirillum,2
Paralactobacillus,3
Paralcaligenes,4
Paraliobacillus,26
Paramaledivibacter,20
Paramesorhizobium,5
Paramoritella,7
Paraoerskovia,10
Parapedobacter,51
Paraperlucidibaca,5
Paraprevotella,43
Parapusillimonas,54
Pararhodospirillum,5
Parascardovia,5
Parasediminibacterium,11
Parasegetibacter,17
Parasphingopyxis,8
Parasporobacterium,1
Parasutterella,134
Parvibacter,6
Parvibaculum,49
Parvibium,7
Parvimonas,98
Parviterribacter,13
Parvularcula,23
Pasteurella,326
Pasteuria,23
Patulibacter,17
Paucibacter,54
Paucilactobacillus,32
Paucimonas,6
Paucisalibacillus,10
Pectinatus,14
Pectobacterium,349
Pediococcus,304
Pedobacter,542
Pedococcus-Phycicoccus,34
Pedomicrobium,163
Pedosphaera,12
Pelagibaca,11
Pelagibacterium,44
Pelagibius,44
Pelagicoccus,19
Pelagicola,7
Pelagimonas,6
Pelagirhabdus,3
Pelistega,10
Pelobacter,5
Pelobium,4
Pelolinea,47
Pelomonas,89
Pelosinus,114
Pelospora,22
Pelotomaculum,67
Peptoanaerobacter,2
Peptoclostridium,165
Peptococcus,51
Peptoniphilus,207
Peptostreptococcus,58
Peredibacter,154
Perexilibacter,3
Perlucidibaca,7
Permianibacter,3
Persephonella,16
Persicirhabdus,32
Persicitalea,17
Persicobacter,7
Perspicuibacter,4
Petalonema_ANT.LG2.8,8
Petrimonas,49
Petrotoga,17
Phaeobacter,138
Phaeochromatium,2
Phaeocystidibacter,7
Phaeodactylibacter,179
Phaeospirillum,11
Phaeovibrio,1
Phascolarctobacterium,209
Phaselicystis,102
Phaseolibacter,3
Phenylobacterium,173
Phocaeicola,3
Phocea,4
Phocoenobacter,141
Phoenicibacter,9
Phorcysia,1
Phormidesmis_ANT.L52.6,26
Phormidesmis_ANT.LACV5.1,37
Phormidium_CYN64,13
Phormidium_ETS-05,5
Phormidium_IAM_M-71,17
Phormidium_MBIC10002,3
Phormidium_MBIC10003,42
Phormidium_SAG_37.90,16
Phormidium_SAG_81.79,2
Photobacterium,395
Photorhabdus,103
Phreatobacter,50
Phycisphaera,19
Phyllobacterium,107
Phyllonema_CENA325,2
Phytoactinopolyspora,10
Phytohabitans,13
Phytomonospora,2
Pibocella,7
Picrophilus,2
Pigmentiphaga,21
Pilibacter,7
Pilimelia,5
Pir1_lineage,7
Pir2_lineage,10
Pir3_lineage,7
Pir4_lineage,546
Pirellula,412
Piscibacillus,11
Piscicoccus,2
Pisciglobus,3
Piscinibacter,22
Piscirickettsia,129
pItb-vmat-59,10
Planctomicrobium,77
Planctopirus,70
Planifilum,14
Planktomarina,111
