Genus,Number of sequences
Anaeromusa-Anaeroarcus,21
Anaeromyxobacter,114
Anaerophaga,24
Anaeroplasma,63
Anaerosalibacter,19
Anaerosinus,12
Anaerosolibacter,7
Anaerosphaera,3
Anaerospora,34
Anaerosporobacter,83
Anaerosporomusa,17
Anaerostignum,43
Anaerostipes,491
Anaerotruncus,51
Anaerovibrio,73
Anaerovorax,217
Anaplasma,57
Ancalomicrobium,4
Ancylobacter,31
Ancylothrix_8PC,4
Anderseniella,22
Anditalea,2
Andreprevotia,2
Aneurinibacillus,93
Angelakisella,4
Angiococcus,5
Angulomicrobium,2
Angustibacter,16
ANME-2b,11
ANME-3,46
Annamia_HOs24,10
Annwodia,4
Anoxybacillus,813
Anseongella,8
Antarcticibacterium,30
Antarcticimonas,2
Antarctobacter,9
Antricoccus,14
Aphanizomenon_MDT14a,11
Aphanizomenon_NIES81,39
Aphanotece,1
Apibacter,9
Apilactobacillus,50
AqS1,70
Aquabacter,1
Aquabacterium,290
Aquamicrobium,44
Aquamonas,1
Aquaspirillum,13
Aquibacillus,8
Aquibacter,109
Aquicella,167
Aquifex,4
Aquiflexum,17
Aquimarina,73
Aquimixticola,4
Aquimonas,20
Aquincola,1
Aquipuribacter,9
Aquisalibacillus,3
Aquisalimonas,10
Aquisphaera,51
Aquitalea,21
AR15,28
AR20,4
Arachidicoccus,19
Arboricoccus,4
Arcanobacterium,41
Archaeoglobus,32
Archangium,20
Arcicella,44
Arcobacter,104
Arcticibacter,22
Arcticiflavibacter,20
Ardenticatena,4
Arenibacter,51
Arenicella,22
Arenimonas,207
Arenitalea,1
Arhodomonas,4
Aridibacter,24
Armatimonas,12
Arsenicibacter,3
Arsenicicoccus,6
Arsenicitalea,17
Arsenophonus,98
Arthrobacter,737
Arthronema_SAG_12.89,4
Arthrospira_PCC-7345,42
Asaccharobacter,2
Asaccharospora,2
Asaia,54
Asanoa,23
Ascidiaceihabitans,48
Ascidiimonas,3
ASF356,30
Asinibacterium,8
Asteroleplasma,18
Asticcacaulis,46
Atelocyanobacterium_(UCYN-A),4
Atlantibacter,4
Atopobacter,1
Atopobium,75
Atopococcus,8
Atopostipes,60
Aurantiacicella,1
Aurantimicrobium,19
Aurantimonas,13
Aurantisolimonas,61
Aurantivirga,14
Auraticoccus,5
Aureibacillus,4
Aureibacter,1
Aureicoccus,1
Aureimarina,2
Aureimonas,62
Aureisphaera,5
Aureispira,27
Aureitalea,2
Aureivirga,2
Auricoccus-Abyssicoccus,8
Auritidibacter,5
Austwickia,5
AUTHM297,4
Avibacterium,25
Azoarcus,145
Azohydromonas,20
Azomonas,4
Azonexus,28
Azorhizobium,22
Azorhizophilus,4
Azospira,53
Azospirillum,333
Azotobacter,100
Azovibrio,18
B2706-C7,4
B276-D12,3
BacC-u-018,7
Bacillus,15700
Bact-08,8
Bacteriovorax,29
Bacteroides,3747
Baia,5
Balnearium,2
Balneatrix,3
Balneola,38
Barnesiella,88
Barrientosiimonas,3
Bartonella,173
