"","NMDS1","NMDS2","sample_name","plate","well","organism","flooded","path_conc","experiment","sample_type","is_ambiguous","cin_prop","cry_prop","plu_prop","expected_innoc_prop","unexpected_innoc_prop","expected_innoc","only_expected_innoc","valid_inoc","raw_count","richness","shannon","invsimpson"
"25",0.523840649115223,0.819681047286368,"S168",2,"A11","Cin",TRUE,1,2,"Sample",FALSE,0.000592719039320981,0,0,0.000592719039320981,0,TRUE,TRUE,TRUE,84307,143,2.69519330171963,7.97265492199358
"26",-0.0714064808485175,0.0489966029873303,"S169",2,"B11","Cin",FALSE,100,2,"Sample",FALSE,0.777179591184532,0,0,0.777179591184532,0,TRUE,TRUE,TRUE,54384,159,2.75666037881324,7.99091104151406
"27",-0.233746299922447,-0.39003401826778,"S17",1,"B03","Cry",TRUE,100,1,"Sample",FALSE,0,0.107052039683392,0,0.107052039683392,0,TRUE,TRUE,TRUE,49864,112,2.21950869734895,4.03962591392688
"28",0.197408580922153,0.459910824334979,"S20",1,"E03","Plu",FALSE,100,1,"Sample",FALSE,0,0,0.0254725399529488,0.0254725399529488,0,TRUE,TRUE,TRUE,36039,99,2.05028810814713,3.60885433143828
"29",0.367493565738225,0.645225997634861,"S22",1,"G03","Cry",TRUE,100,1,"Sample",FALSE,0,0.175845875368666,0,0.175845875368666,0,TRUE,TRUE,TRUE,65109,88,2.15001550149598,5.1828766323339
"30",0.094713129167079,0.95701403037018,"S23",1,"H03","Plu",TRUE,100,1,"Sample",FALSE,0,0,0.00155299840957994,0.00155299840957994,0,TRUE,TRUE,TRUE,53362,58,1.74412366809075,2.96536969265573
"31",0.648859144797797,-0.600465126355646,"S24",1,"A04","Cin",FALSE,100,1,"Sample",FALSE,0.330634955707772,0,0,0.330634955707772,0,TRUE,TRUE,TRUE,33323,139,2.77474716679278,4.96637346167227
"32",1.49761452050306,-0.198303447295956,"S26",1,"C04","Control",FALSE,0,1,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,86935,102,1.84572293680318,2.86447752633433
"33",1.26896230512011,0.0701404603675853,"S27",1,"D04","Cin",FALSE,100,1,"Sample",FALSE,0.249174361393813,0,0,0.249174361393813,0,TRUE,TRUE,TRUE,77980,110,2.52847006915325,5.21602332877277
"34",1.24432852411434,-0.334486706034081,"S28",1,"E04","Cin",FALSE,100,1,"Sample",FALSE,0.183931900524113,0,0,0.183931900524113,0,TRUE,TRUE,TRUE,69600,142,3.24239944537645,12.6588878366761
"35",1.04297964119119,-0.273470737062114,"S29",1,"F04","Cin",FALSE,100,1,"Sample",FALSE,0.541923551171393,0,0,0.541923551171393,0,TRUE,TRUE,TRUE,40865,129,3.02459266774943,9.62224751613714
