"","sample_name","plate","well","organism","flooded","path_conc","experiment","sample_type","is_ambiguous","cin_prop","cry_prop","plu_prop","expected_innoc_prop","unexpected_innoc_prop","expected_innoc","only_expected_innoc","valid_inoc","raw_count","richness","shannon","invsimpson"
"34","S129",2,"A06","Control",TRUE,0,2,"Sample",FALSE,0.000126032304069517,0.00224204835660509,0,NA,0.0023680806606746,FALSE,FALSE,FALSE,150398,127,1.96283001458977,3.25010541301988
"35","S13",1,"E02","Control",TRUE,0,1,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,46829,126,2.46667782516195,6.30579175272501
"36","S130",2,"B06","Cin",TRUE,100,2,"Sample",FALSE,0.833890556544472,0,0,0.833890556544472,0,TRUE,TRUE,TRUE,25289,109,2.98470442344157,10.5001012603287
"37","S131",2,"C06","Cin",TRUE,1,2,"Sample",FALSE,0.336005547381061,0,0,0.336005547381061,0,TRUE,TRUE,TRUE,78520,134,2.72841648756929,7.57119074495731
"38","S132",2,"D06","Cry",TRUE,1,2,"Sample",FALSE,0.00106172735682449,0.00148221343873518,0,0.00148221343873518,0.00106172735682449,TRUE,FALSE,FALSE,94886,135,2.45881251583229,7.1545499616059
"39","S133",2,"E06","Cin",FALSE,1,2,"Sample",FALSE,0.509610355648536,0.00388173378661088,0,0.509610355648536,0.00388173378661088,TRUE,FALSE,FALSE,59533,135,2.55806294460073,6.44215177953565
"40","S134",2,"F06","Cin",FALSE,100,2,"Sample",FALSE,0.803887109422981,0.0598278484839895,0,0.803887109422981,0.0598278484839895,TRUE,FALSE,FALSE,14424,73,2.373342544165,4.51826510177856
"41","S135",2,"G06","Cry",FALSE,100,2,"Sample",FALSE,0.000595277465440836,0,0,0,0.000595277465440836,FALSE,FALSE,FALSE,75550,114,2.41644381668306,6.24231753064114
"42","S136",2,"H06","Plu",TRUE,1,2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,21536,29,1.51491571796778,3.31756613879994
"43","S137",2,"B07","Cry",TRUE,100,2,"Sample",FALSE,0.000331401649842808,0.0213619712128405,0,0.0213619712128405,0.000331401649842808,TRUE,FALSE,FALSE,109225,69,1.60298015185037,2.42497423354995
"44","S138",2,"C07","Plu",TRUE,100,2,"Sample",FALSE,0.000295385597956251,0,0.0096678907871627,0.0096678907871627,0.000295385597956251,TRUE,FALSE,FALSE,124012,130,1.63955576071066,2.31027322908825
"45","S139",2,"D07","Cin",TRUE,100,2,"Sample",FALSE,0.682117820925416,0,0,0.682117820925416,0,TRUE,TRUE,TRUE,65389,147,2.50003669326504,5.45867112503879
"46","S14",1,"F02","Cin",TRUE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,68190,71,1.57232581671135,2.98871006095271
"47","S140",2,"E07","Plu",FALSE,1,2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,94920,131,2.5755011848622,6.04941375563573
"48","S141",2,"F07","Cry",TRUE,100,2,"Sample",FALSE,0,0.0190983881799866,0,0.0190983881799866,0,TRUE,TRUE,TRUE,93476,101,1.85471078752828,3.68414116666026
"49","S142",2,"G07","Control",FALSE,0,2,"Sample",FALSE,0.000356592685570834,0,0,NA,0.000356592685570834,FALSE,FALSE,FALSE,70083,150,2.31844758037198,3.97991769370098
"50","S143",2,"H07","Cry",FALSE,1,2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,46976,86,2.09595450336407,3.97308262180246
"51","S144",2,"A08","Control",FALSE,0,2,"Sample",FALSE,0.000152644081702745,0,0,NA,0.000152644081702745,FALSE,FALSE,FALSE,104803,139,2.55772069336943,6.21569343518271
"52","S145",2,"B08","Plu",FALSE,1,2,"Sample",FALSE,0.000983495712573378,0,0,0,0.000983495712573378,FALSE,FALSE,FALSE,65010,137,2.35837132340574,3.90401200921103
"53","S146",2,"C08","Cin",FALSE,100,2,"Sample",FALSE,0.870245978055602,0,0,0.870245978055602,0,TRUE,TRUE,TRUE,21712,145,3.46603017065687,16.5412374986552
