samplename_barcode,input,filtered,denoisedF,denoisedR,merged,nonchim
S96_rps10,137158,96070,95919,95962,95232,95135
S97_rps10,119765,92571,92506,92441,92177,92110
S98_rps10,80686,56626,56608,56561,56367,56367
S99_rps10,36563,18384,18378,18371,18356,18356
SDNA_C1_rps10,126,27,7,15,0,0
SDNA_C2_rps10,215,40,23,23,23,23
SDNA_C3_rps10,544,102,92,83,78,78
SDNA_C4_rps10,422,125,110,114,108,108
SMC1_rps10,114229,77800,77447,77261,71396,53272
SMC2_rps10,110524,75071,74574,74567,69147,51565
SMC3_rps10,206908,137286,136745,136422,122685,85003
SMC4_rps10,186876,123311,122909,122638,115075,82769
SPCR_C1_rps10,176,26,22,6,6,6
SPCR_C2_rps10,106,47,45,45,44,44
SPCR_C3_rps10,1240,168,141,136,135,135
SPCR_C4_rps10,337,59,31,39,17,17
